"id_pedido","data_pedido","status","valor_total","id_cliente"
39,2021-12-27 00:00:00.000,Concluído,232.15,6460
40,2023-04-09 00:00:00.000,Processando,480.70,9930
41,2022-03-04 00:00:00.000,Processando,696.15,3974
42,2022-07-10 00:00:00.000,Cancelado,223.84,4106
43,2021-12-10 00:00:00.000,Pendente,390.52,1064
44,2021-04-13 00:00:00.000,Concluído,362.13,578
45,2020-01-13 00:00:00.000,Cancelado,791.69,9011
46,2022-10-05 00:00:00.000,Cancelado,822.70,4248
47,2020-05-30 00:00:00.000,Cancelado,599.39,9166
48,2020-02-20 00:00:00.000,Processando,641.88,7442
49,2021-01-27 00:00:00.000,Processando,295.57,9685
50,2022-12-11 00:00:00.000,Concluído,75.49,3224
51,2020-12-20 00:00:00.000,Pendente,355.64,5189
52,2023-06-26 00:00:00.000,Concluído,509.25,6161
53,2020-07-17 00:00:00.000,Concluído,103.61,5610
54,2021-11-30 00:00:00.000,Concluído,171.12,655
55,2021-01-01 00:00:00.000,Cancelado,45.26,7729
56,2022-01-17 00:00:00.000,Processando,408.83,2345
57,2020-11-25 00:00:00.000,Concluído,653.05,7289
58,2023-07-11 00:00:00.000,Pendente,466.76,6887
59,2020-02-07 00:00:00.000,Pendente,553.98,8294
60,2020-04-29 00:00:00.000,Processando,695.64,4873
61,2023-05-22 00:00:00.000,Cancelado,830.60,2198
62,2022-02-08 00:00:00.000,Concluído,219.86,4002
63,2020-01-27 00:00:00.000,Processando,201.67,8861
64,2021-12-07 00:00:00.000,Processando,393.21,5578
65,2021-06-18 00:00:00.000,Concluído,353.36,1007
66,2023-02-15 00:00:00.000,Processando,950.65,998
67,2020-01-19 00:00:00.000,Concluído,46.33,5265
68,2020-11-11 00:00:00.000,Concluído,10.43,3487
69,2023-10-16 00:00:00.000,Processando,282.60,5298
70,2021-12-31 00:00:00.000,Pendente,260.71,392
71,2020-10-06 00:00:00.000,Pendente,124.97,5924
72,2023-05-23 00:00:00.000,Cancelado,395.89,8983
73,2023-10-02 00:00:00.000,Cancelado,620.97,7184
74,2022-02-03 00:00:00.000,Pendente,678.40,5552
75,2023-01-20 00:00:00.000,Pendente,268.71,7027
76,2021-08-03 00:00:00.000,Pendente,885.27,9592
77,2021-11-24 00:00:00.000,Processando,917.29,5213
78,2022-01-18 00:00:00.000,Cancelado,406.91,9144
79,2021-04-07 00:00:00.000,Cancelado,768.07,4625
80,2020-01-23 00:00:00.000,Processando,353.48,9028
81,2021-06-01 00:00:00.000,Cancelado,754.19,2251
82,2022-06-18 00:00:00.000,Concluído,628.15,4989
83,2020-11-26 00:00:00.000,Pendente,366.32,6689
84,2021-01-22 00:00:00.000,Pendente,213.58,8792
85,2020-04-03 00:00:00.000,Cancelado,398.07,1319
86,2022-07-10 00:00:00.000,Processando,755.16,2953
87,2020-07-31 00:00:00.000,Concluído,221.75,3060
88,2022-02-24 00:00:00.000,Concluído,31.09,8657
89,2022-02-04 00:00:00.000,Cancelado,540.76,7167
90,2021-04-03 00:00:00.000,Cancelado,473.43,9225
91,2022-05-20 00:00:00.000,Processando,703.68,3103
92,2022-03-01 00:00:00.000,Concluído,567.07,28
93,2020-01-16 00:00:00.000,Pendente,248.25,6697
94,2022-02-24 00:00:00.000,Processando,646.38,9916
95,2021-09-29 00:00:00.000,Cancelado,816.02,3181
96,2021-03-17 00:00:00.000,Processando,375.72,3196
97,2023-09-09 00:00:00.000,Cancelado,64.04,7921
98,2020-05-01 00:00:00.000,Pendente,364.39,6207
99,2021-12-22 00:00:00.000,Cancelado,114.80,5291
100,2023-04-09 00:00:00.000,Concluído,576.20,1250
101,2023-03-08 00:00:00.000,Pendente,83.07,9828
102,2022-01-14 00:00:00.000,Pendente,164.67,694
103,2022-03-08 00:00:00.000,Concluído,553.49,1425
104,2020-02-11 00:00:00.000,Pendente,163.92,3904
105,2020-10-07 00:00:00.000,Processando,643.64,2194
106,2023-05-17 00:00:00.000,Pendente,700.77,5596
107,2020-08-09 00:00:00.000,Processando,20.20,8555
108,2020-02-27 00:00:00.000,Processando,435.34,1847
109,2020-02-15 00:00:00.000,Cancelado,779.90,9467
110,2023-11-09 00:00:00.000,Pendente,381.33,3658
111,2021-07-16 00:00:00.000,Cancelado,511.39,8259
112,2023-01-14 00:00:00.000,Processando,256.69,7851
113,2023-02-15 00:00:00.000,Pendente,314.24,6324
114,2021-01-21 00:00:00.000,Cancelado,375.55,2134
115,2021-10-26 00:00:00.000,Pendente,153.59,5224
116,2020-04-28 00:00:00.000,Cancelado,720.63,6386
117,2023-04-07 00:00:00.000,Processando,563.91,8339
118,2022-07-01 00:00:00.000,Concluído,748.91,9267
119,2023-05-03 00:00:00.000,Processando,978.32,9863
120,2022-12-21 00:00:00.000,Concluído,88.55,1599
121,2023-08-25 00:00:00.000,Concluído,730.35,7044
122,2023-07-25 00:00:00.000,Pendente,670.51,4895
123,2021-01-05 00:00:00.000,Processando,239.50,9954
124,2022-01-21 00:00:00.000,Cancelado,364.59,406
125,2023-10-14 00:00:00.000,Cancelado,484.13,9249
126,2021-12-13 00:00:00.000,Pendente,447.20,7107
127,2020-02-11 00:00:00.000,Pendente,223.49,3304
128,2020-03-18 00:00:00.000,Processando,195.43,5986
129,2020-06-15 00:00:00.000,Cancelado,780.89,227
130,2020-12-26 00:00:00.000,Pendente,509.41,8195
131,2020-05-23 00:00:00.000,Concluído,971.91,632
132,2020-10-16 00:00:00.000,Cancelado,22.31,2287
133,2020-09-19 00:00:00.000,Pendente,636.10,2896
134,2022-03-04 00:00:00.000,Pendente,30.28,8357
135,2023-10-06 00:00:00.000,Concluído,821.63,3897
136,2022-09-29 00:00:00.000,Concluído,942.65,9144
137,2022-08-16 00:00:00.000,Pendente,232.32,6462
138,2023-10-12 00:00:00.000,Pendente,757.32,1307
139,2020-01-08 00:00:00.000,Concluído,329.08,4800
140,2021-11-10 00:00:00.000,Processando,469.39,5556
141,2020-01-22 00:00:00.000,Pendente,583.12,2824
142,2020-11-10 00:00:00.000,Processando,444.71,2813
143,2021-02-21 00:00:00.000,Pendente,454.13,2384
144,2020-11-13 00:00:00.000,Processando,916.76,165
145,2022-03-15 00:00:00.000,Pendente,893.76,6796
146,2021-03-08 00:00:00.000,Pendente,282.05,6978
147,2022-06-30 00:00:00.000,Concluído,862.81,9571
148,2021-04-06 00:00:00.000,Pendente,953.21,1501
149,2023-06-12 00:00:00.000,Concluído,223.09,6701
150,2020-08-29 00:00:00.000,Processando,109.59,7053
151,2021-10-09 00:00:00.000,Concluído,242.59,2246
152,2021-01-11 00:00:00.000,Processando,339.70,7601
153,2020-09-30 00:00:00.000,Pendente,660.48,9377
154,2023-10-09 00:00:00.000,Pendente,375.82,4787
155,2020-10-10 00:00:00.000,Concluído,554.39,8191
156,2022-01-22 00:00:00.000,Processando,39.19,7288
157,2021-10-16 00:00:00.000,Concluído,743.75,7423
158,2023-05-09 00:00:00.000,Cancelado,429.83,1906
159,2022-02-09 00:00:00.000,Cancelado,327.22,1031
160,2021-12-14 00:00:00.000,Processando,798.24,8676
161,2023-02-08 00:00:00.000,Cancelado,312.21,7723
162,2021-02-16 00:00:00.000,Processando,542.57,4311
163,2022-08-11 00:00:00.000,Pendente,922.37,9039
164,2023-05-13 00:00:00.000,Cancelado,296.55,5506
165,2022-05-20 00:00:00.000,Pendente,477.16,5811
166,2020-03-04 00:00:00.000,Concluído,985.29,2564
167,2020-08-09 00:00:00.000,Cancelado,640.25,8076
168,2020-02-27 00:00:00.000,Concluído,887.93,7753
169,2020-09-24 00:00:00.000,Pendente,387.05,9769
170,2022-07-04 00:00:00.000,Concluído,531.61,4733
171,2023-10-17 00:00:00.000,Concluído,700.47,5371
172,2021-04-11 00:00:00.000,Pendente,324.47,4
173,2023-04-21 00:00:00.000,Cancelado,668.40,2769
174,2022-01-06 00:00:00.000,Cancelado,672.52,4835
175,2023-04-03 00:00:00.000,Processando,413.92,6859
176,2023-11-20 00:00:00.000,Concluído,424.42,44
177,2023-07-05 00:00:00.000,Cancelado,331.47,2656
178,2020-01-21 00:00:00.000,Processando,903.14,1353
179,2021-11-28 00:00:00.000,Cancelado,433.75,8081
180,2021-06-02 00:00:00.000,Processando,318.56,6920
181,2021-10-18 00:00:00.000,Cancelado,36.55,2700
182,2020-04-10 00:00:00.000,Cancelado,720.72,944
183,2023-04-19 00:00:00.000,Processando,893.26,4600
184,2020-01-09 00:00:00.000,Pendente,39.02,3184
185,2023-10-28 00:00:00.000,Concluído,711.03,5965
186,2022-12-18 00:00:00.000,Processando,917.52,6676
187,2022-10-25 00:00:00.000,Processando,916.81,4442
188,2021-12-18 00:00:00.000,Concluído,581.59,9506
189,2021-12-18 00:00:00.000,Processando,771.94,850
190,2023-02-22 00:00:00.000,Processando,641.20,7576
191,2021-07-24 00:00:00.000,Processando,826.80,1266
192,2020-12-07 00:00:00.000,Processando,155.77,5582
193,2023-03-21 00:00:00.000,Pendente,425.10,757
194,2022-02-06 00:00:00.000,Processando,312.10,9234
195,2021-01-16 00:00:00.000,Processando,684.12,4221
196,2022-11-18 00:00:00.000,Concluído,913.88,7108
197,2022-03-22 00:00:00.000,Concluído,236.01,443
198,2023-02-05 00:00:00.000,Concluído,927.51,7438
199,2022-11-01 00:00:00.000,Cancelado,76.92,2997
200,2022-02-26 00:00:00.000,Concluído,268.34,2029
201,2021-02-05 00:00:00.000,Processando,511.39,8335
202,2021-08-30 00:00:00.000,Cancelado,801.17,403
203,2020-09-26 00:00:00.000,Processando,859.88,758
204,2021-01-27 00:00:00.000,Pendente,928.08,3850
205,2020-09-27 00:00:00.000,Cancelado,691.92,8551
206,2020-11-21 00:00:00.000,Pendente,493.48,5714
207,2022-03-06 00:00:00.000,Processando,662.79,6542
208,2020-03-18 00:00:00.000,Concluído,601.92,3855
209,2021-12-04 00:00:00.000,Pendente,361.92,1266
210,2023-07-24 00:00:00.000,Processando,12.50,9485
211,2022-10-27 00:00:00.000,Processando,663.99,6898
212,2020-01-15 00:00:00.000,Concluído,725.52,2250
213,2022-08-06 00:00:00.000,Concluído,492.90,9212
214,2021-07-14 00:00:00.000,Processando,269.24,5789
215,2020-11-20 00:00:00.000,Processando,506.65,2508
216,2021-07-30 00:00:00.000,Cancelado,304.23,9967
217,2020-06-11 00:00:00.000,Cancelado,862.94,957
218,2023-06-13 00:00:00.000,Processando,829.30,708
219,2021-01-03 00:00:00.000,Concluído,929.99,7868
220,2020-03-17 00:00:00.000,Cancelado,94.92,9654
221,2021-10-12 00:00:00.000,Concluído,689.96,9330
222,2022-01-18 00:00:00.000,Processando,382.60,1389
223,2021-11-29 00:00:00.000,Pendente,757.92,8221
224,2020-07-08 00:00:00.000,Pendente,476.41,1701
225,2020-04-11 00:00:00.000,Processando,314.91,1698
226,2023-01-24 00:00:00.000,Pendente,873.44,7324
227,2020-06-02 00:00:00.000,Cancelado,891.32,4271
228,2021-12-09 00:00:00.000,Processando,30.09,455
229,2021-02-03 00:00:00.000,Processando,173.74,9275
230,2021-03-26 00:00:00.000,Pendente,496.07,4497
231,2021-12-10 00:00:00.000,Processando,431.22,486
232,2020-07-30 00:00:00.000,Pendente,357.63,8207
233,2023-07-08 00:00:00.000,Processando,481.22,8202
234,2022-02-08 00:00:00.000,Concluído,101.98,669
235,2022-10-20 00:00:00.000,Processando,533.75,8844
236,2023-11-04 00:00:00.000,Cancelado,235.00,2347
237,2020-04-06 00:00:00.000,Concluído,556.79,1851
238,2021-04-12 00:00:00.000,Processando,590.48,3929
239,2021-05-25 00:00:00.000,Processando,87.11,7818
240,2020-07-08 00:00:00.000,Cancelado,805.82,720
241,2020-02-17 00:00:00.000,Processando,423.97,3375
242,2022-05-10 00:00:00.000,Concluído,470.80,1961
243,2020-05-10 00:00:00.000,Concluído,674.81,6963
244,2020-08-12 00:00:00.000,Concluído,342.69,9365
245,2021-07-19 00:00:00.000,Cancelado,625.22,4230
246,2021-10-03 00:00:00.000,Pendente,310.76,5173
247,2022-02-05 00:00:00.000,Cancelado,514.06,6626
248,2023-11-22 00:00:00.000,Concluído,757.63,3284
249,2022-07-01 00:00:00.000,Pendente,164.71,7933
250,2022-03-08 00:00:00.000,Cancelado,959.41,8006
251,2023-12-09 00:00:00.000,Processando,343.27,7972
252,2023-08-05 00:00:00.000,Processando,355.11,519
253,2022-06-18 00:00:00.000,Concluído,850.14,2348
254,2021-01-20 00:00:00.000,Concluído,954.81,1086
255,2020-04-08 00:00:00.000,Pendente,470.29,1140
256,2022-08-31 00:00:00.000,Pendente,866.92,4705
257,2021-10-17 00:00:00.000,Processando,418.17,13
258,2022-05-21 00:00:00.000,Processando,921.51,2390
259,2020-12-09 00:00:00.000,Concluído,913.43,7562
260,2021-11-26 00:00:00.000,Cancelado,483.93,1932
261,2022-01-09 00:00:00.000,Concluído,21.52,9929
262,2022-11-30 00:00:00.000,Processando,852.43,3071
263,2021-04-24 00:00:00.000,Cancelado,131.59,9829
264,2020-09-20 00:00:00.000,Processando,36.85,3752
265,2021-11-28 00:00:00.000,Cancelado,316.71,4035
266,2021-03-21 00:00:00.000,Processando,910.45,7026
267,2022-01-27 00:00:00.000,Processando,251.48,6489
268,2020-07-07 00:00:00.000,Concluído,781.31,9300
269,2022-12-20 00:00:00.000,Pendente,719.05,6487
270,2022-07-31 00:00:00.000,Concluído,929.35,5862
271,2020-03-13 00:00:00.000,Cancelado,418.49,2149
272,2022-07-24 00:00:00.000,Cancelado,27.22,1576
273,2022-04-06 00:00:00.000,Pendente,750.48,8212
274,2022-09-21 00:00:00.000,Pendente,24.11,8267
275,2020-02-01 00:00:00.000,Pendente,443.52,2090
276,2023-11-03 00:00:00.000,Concluído,757.53,144
277,2021-10-09 00:00:00.000,Cancelado,373.38,9947
278,2020-10-01 00:00:00.000,Concluído,149.27,4023
279,2021-09-19 00:00:00.000,Processando,429.17,1848
280,2023-02-25 00:00:00.000,Processando,524.06,3720
281,2020-01-14 00:00:00.000,Processando,956.19,153
282,2020-02-29 00:00:00.000,Cancelado,766.96,8399
283,2023-06-14 00:00:00.000,Cancelado,47.11,5369
284,2020-05-23 00:00:00.000,Cancelado,832.02,7967
285,2022-09-12 00:00:00.000,Processando,496.73,5324
286,2020-08-23 00:00:00.000,Cancelado,432.86,6594
287,2022-07-14 00:00:00.000,Cancelado,263.03,8827
288,2020-07-11 00:00:00.000,Cancelado,567.15,6696
289,2020-11-22 00:00:00.000,Pendente,570.10,3159
290,2022-05-07 00:00:00.000,Cancelado,936.86,3928
291,2022-08-04 00:00:00.000,Concluído,944.39,367
292,2021-02-18 00:00:00.000,Concluído,765.74,7276
293,2022-01-20 00:00:00.000,Cancelado,977.63,2032
294,2020-01-06 00:00:00.000,Concluído,255.94,4560
295,2021-09-18 00:00:00.000,Cancelado,898.43,4515
296,2021-05-26 00:00:00.000,Concluído,530.69,1644
297,2023-06-22 00:00:00.000,Concluído,753.03,9975
298,2021-07-28 00:00:00.000,Processando,694.25,8051
299,2022-05-26 00:00:00.000,Cancelado,496.17,4002
300,2022-01-10 00:00:00.000,Cancelado,79.58,4566
301,2023-04-01 00:00:00.000,Cancelado,481.25,4258
302,2020-01-12 00:00:00.000,Concluído,975.26,4542
303,2022-09-09 00:00:00.000,Concluído,171.50,9907
304,2023-01-19 00:00:00.000,Cancelado,313.78,5455
305,2021-09-05 00:00:00.000,Pendente,913.95,3468
306,2023-05-02 00:00:00.000,Processando,40.44,1994
307,2023-02-13 00:00:00.000,Processando,803.05,2759
308,2020-03-09 00:00:00.000,Concluído,405.57,1306
309,2020-02-16 00:00:00.000,Pendente,374.25,5124
310,2023-11-24 00:00:00.000,Cancelado,498.84,7321
311,2021-12-11 00:00:00.000,Cancelado,361.28,3359
312,2020-11-18 00:00:00.000,Processando,106.06,5731
313,2020-07-02 00:00:00.000,Concluído,459.73,7051
314,2020-05-12 00:00:00.000,Cancelado,918.36,5996
315,2023-01-31 00:00:00.000,Pendente,795.07,234
316,2023-01-08 00:00:00.000,Concluído,824.39,9719
317,2020-07-10 00:00:00.000,Pendente,815.27,9876
318,2021-05-06 00:00:00.000,Processando,488.12,8794
319,2021-05-01 00:00:00.000,Concluído,946.02,4350
320,2020-07-17 00:00:00.000,Concluído,89.17,107
321,2023-05-01 00:00:00.000,Concluído,210.22,3433
322,2021-03-10 00:00:00.000,Concluído,523.25,6872
323,2021-10-14 00:00:00.000,Pendente,804.43,9558
324,2021-11-15 00:00:00.000,Processando,653.48,9226
325,2021-07-14 00:00:00.000,Concluído,497.75,8347
326,2022-05-14 00:00:00.000,Concluído,189.48,5526
327,2021-03-16 00:00:00.000,Processando,563.56,2026
328,2022-04-07 00:00:00.000,Cancelado,452.00,5116
329,2020-11-26 00:00:00.000,Concluído,476.15,1063
330,2020-07-01 00:00:00.000,Cancelado,168.56,4655
331,2021-02-27 00:00:00.000,Cancelado,246.04,9776
332,2021-06-13 00:00:00.000,Processando,489.47,6170
333,2021-04-20 00:00:00.000,Pendente,258.62,5710
334,2020-07-02 00:00:00.000,Cancelado,528.96,5024
335,2020-10-19 00:00:00.000,Cancelado,14.12,9113
336,2022-05-27 00:00:00.000,Concluído,579.55,5921
337,2023-10-09 00:00:00.000,Concluído,18.18,7422
338,2023-09-06 00:00:00.000,Processando,646.59,6383
339,2020-02-07 00:00:00.000,Cancelado,24.90,2349
340,2021-05-18 00:00:00.000,Processando,245.69,2870
341,2022-02-19 00:00:00.000,Processando,17.15,9052
342,2020-05-06 00:00:00.000,Cancelado,105.52,1342
343,2020-07-15 00:00:00.000,Pendente,406.24,8334
344,2022-08-06 00:00:00.000,Cancelado,915.53,3503
345,2023-06-22 00:00:00.000,Processando,30.65,2515
346,2023-08-16 00:00:00.000,Processando,206.80,8516
347,2022-11-08 00:00:00.000,Concluído,323.25,7159
348,2022-10-15 00:00:00.000,Pendente,257.29,1184
349,2023-10-03 00:00:00.000,Concluído,559.88,142
350,2020-05-12 00:00:00.000,Concluído,738.83,3266
351,2023-06-14 00:00:00.000,Pendente,920.30,1392
352,2020-09-07 00:00:00.000,Concluído,892.14,6689
353,2021-07-21 00:00:00.000,Processando,849.20,4309
354,2020-01-30 00:00:00.000,Pendente,481.45,3259
355,2020-10-23 00:00:00.000,Cancelado,526.11,2429
356,2020-09-07 00:00:00.000,Processando,425.96,6916
357,2022-02-10 00:00:00.000,Processando,838.14,432
358,2020-12-13 00:00:00.000,Cancelado,699.82,1504
359,2021-09-16 00:00:00.000,Concluído,938.23,3239
360,2023-05-23 00:00:00.000,Processando,397.30,1334
361,2020-06-25 00:00:00.000,Concluído,251.58,5783
362,2020-03-25 00:00:00.000,Cancelado,842.92,1604
363,2023-11-19 00:00:00.000,Concluído,839.10,1265
364,2020-11-25 00:00:00.000,Processando,882.75,3278
365,2022-11-03 00:00:00.000,Cancelado,864.30,3016
366,2021-04-03 00:00:00.000,Processando,535.78,7650
367,2022-11-09 00:00:00.000,Processando,935.93,1689
368,2022-05-04 00:00:00.000,Cancelado,206.40,2354
369,2022-04-22 00:00:00.000,Cancelado,394.85,1682
370,2022-05-15 00:00:00.000,Concluído,154.09,6856
371,2020-11-01 00:00:00.000,Concluído,173.93,2062
372,2020-09-15 00:00:00.000,Cancelado,743.04,5429
373,2020-10-21 00:00:00.000,Processando,316.79,3190
374,2022-12-22 00:00:00.000,Cancelado,410.78,3773
375,2020-02-12 00:00:00.000,Processando,810.37,5562
376,2021-12-29 00:00:00.000,Cancelado,524.92,5342
377,2021-08-20 00:00:00.000,Pendente,483.74,3655
378,2023-10-16 00:00:00.000,Pendente,147.32,3468
379,2022-07-21 00:00:00.000,Processando,563.07,4801
380,2020-05-14 00:00:00.000,Concluído,183.17,7437
381,2020-07-24 00:00:00.000,Processando,884.33,6819
382,2023-08-03 00:00:00.000,Concluído,489.74,2097
383,2021-10-29 00:00:00.000,Concluído,108.89,3379
384,2022-04-22 00:00:00.000,Cancelado,509.11,7036
385,2023-09-25 00:00:00.000,Pendente,566.11,988
386,2022-11-08 00:00:00.000,Pendente,88.90,7293
387,2020-09-12 00:00:00.000,Cancelado,460.89,3036
388,2022-05-07 00:00:00.000,Concluído,995.66,749
389,2022-09-27 00:00:00.000,Cancelado,754.11,371
390,2021-12-11 00:00:00.000,Cancelado,312.65,3422
391,2022-10-04 00:00:00.000,Concluído,457.14,7864
392,2021-09-04 00:00:00.000,Cancelado,634.60,9247
393,2023-04-29 00:00:00.000,Processando,551.33,632
394,2020-09-06 00:00:00.000,Pendente,669.93,322
395,2021-06-14 00:00:00.000,Concluído,151.02,2628
396,2022-03-12 00:00:00.000,Processando,105.68,5518
397,2021-08-03 00:00:00.000,Concluído,548.84,2309
398,2023-03-11 00:00:00.000,Cancelado,430.53,1506
399,2023-07-20 00:00:00.000,Processando,644.15,9521
400,2023-11-25 00:00:00.000,Concluído,134.15,5175
401,2021-02-14 00:00:00.000,Processando,452.25,3410
402,2020-05-18 00:00:00.000,Pendente,357.11,1626
403,2022-11-17 00:00:00.000,Cancelado,569.47,9241
404,2021-12-27 00:00:00.000,Pendente,333.13,5252
405,2022-08-15 00:00:00.000,Pendente,654.70,6841
406,2023-06-05 00:00:00.000,Cancelado,313.05,4835
407,2022-03-11 00:00:00.000,Processando,214.64,579
408,2023-10-05 00:00:00.000,Processando,556.45,4569
409,2022-08-31 00:00:00.000,Pendente,288.53,2880
410,2020-10-09 00:00:00.000,Processando,241.42,281
411,2021-11-10 00:00:00.000,Processando,988.63,4100
412,2020-10-29 00:00:00.000,Processando,179.18,1749
413,2021-03-04 00:00:00.000,Concluído,714.31,850
414,2023-12-11 00:00:00.000,Processando,839.94,3586
415,2020-09-29 00:00:00.000,Cancelado,378.36,8584
416,2021-02-14 00:00:00.000,Cancelado,706.63,7481
417,2023-01-11 00:00:00.000,Concluído,649.70,1780
418,2023-05-27 00:00:00.000,Concluído,584.60,9013
419,2021-03-17 00:00:00.000,Cancelado,131.83,2231
420,2022-09-14 00:00:00.000,Pendente,195.15,9372
421,2022-07-23 00:00:00.000,Processando,484.00,9038
422,2022-04-03 00:00:00.000,Processando,340.54,2889
423,2023-12-03 00:00:00.000,Processando,993.09,2363
424,2020-03-14 00:00:00.000,Cancelado,356.56,4815
425,2022-09-29 00:00:00.000,Cancelado,960.36,1954
426,2020-11-11 00:00:00.000,Cancelado,166.50,8795
427,2022-03-04 00:00:00.000,Cancelado,448.93,6135
428,2020-08-14 00:00:00.000,Concluído,143.31,3954
429,2023-01-17 00:00:00.000,Concluído,458.95,7972
430,2020-10-04 00:00:00.000,Pendente,168.87,3716
431,2023-02-06 00:00:00.000,Cancelado,153.14,7215
432,2021-03-11 00:00:00.000,Pendente,718.86,7730
433,2020-11-22 00:00:00.000,Pendente,444.21,4687
434,2022-10-04 00:00:00.000,Processando,461.58,5254
435,2021-07-07 00:00:00.000,Pendente,730.30,7346
436,2023-02-27 00:00:00.000,Cancelado,182.61,7390
437,2023-10-21 00:00:00.000,Cancelado,421.00,5496
438,2021-04-11 00:00:00.000,Concluído,411.20,7381
439,2022-10-05 00:00:00.000,Concluído,853.49,3525
440,2020-01-04 00:00:00.000,Pendente,661.87,3007
441,2022-02-13 00:00:00.000,Cancelado,919.61,8673
442,2022-12-18 00:00:00.000,Processando,214.48,6257
443,2020-01-31 00:00:00.000,Cancelado,863.03,4299
444,2022-12-21 00:00:00.000,Processando,696.78,5306
445,2022-10-04 00:00:00.000,Processando,765.28,6831
446,2023-07-14 00:00:00.000,Concluído,128.14,5994
447,2023-09-06 00:00:00.000,Concluído,925.21,2120
448,2023-08-24 00:00:00.000,Cancelado,984.16,6596
449,2023-01-08 00:00:00.000,Cancelado,669.45,7197
450,2022-12-23 00:00:00.000,Processando,910.82,2013
451,2023-10-06 00:00:00.000,Pendente,479.63,5448
452,2020-03-27 00:00:00.000,Pendente,493.49,6423
453,2022-10-21 00:00:00.000,Cancelado,190.65,3741
454,2023-09-04 00:00:00.000,Cancelado,111.27,4808
455,2023-02-05 00:00:00.000,Cancelado,684.96,8689
456,2022-02-17 00:00:00.000,Cancelado,557.50,7483
457,2020-10-11 00:00:00.000,Pendente,879.32,4182
458,2021-03-18 00:00:00.000,Processando,397.80,2881
459,2020-03-17 00:00:00.000,Pendente,698.90,5263
460,2021-05-02 00:00:00.000,Pendente,996.67,2233
461,2022-03-29 00:00:00.000,Pendente,752.09,9966
462,2020-07-28 00:00:00.000,Concluído,256.33,5087
463,2023-05-30 00:00:00.000,Cancelado,521.96,3551
464,2021-02-03 00:00:00.000,Cancelado,90.20,1636
465,2020-04-09 00:00:00.000,Pendente,612.80,9002
466,2021-10-19 00:00:00.000,Cancelado,86.99,5455
467,2021-08-14 00:00:00.000,Cancelado,709.89,9173
468,2020-09-07 00:00:00.000,Pendente,329.07,8462
469,2020-01-01 00:00:00.000,Concluído,33.37,1195
470,2020-04-14 00:00:00.000,Concluído,891.50,9072
471,2022-11-11 00:00:00.000,Pendente,653.52,1508
472,2020-08-13 00:00:00.000,Processando,613.55,8781
473,2022-04-05 00:00:00.000,Concluído,808.23,2429
474,2020-06-14 00:00:00.000,Processando,76.64,7704
475,2020-10-14 00:00:00.000,Concluído,550.94,5437
476,2021-03-07 00:00:00.000,Cancelado,86.79,470
477,2022-06-25 00:00:00.000,Pendente,49.92,9475
478,2022-09-29 00:00:00.000,Cancelado,190.78,9411
479,2022-05-26 00:00:00.000,Processando,736.55,443
480,2022-02-12 00:00:00.000,Cancelado,885.95,8284
481,2021-06-28 00:00:00.000,Concluído,933.18,9896
482,2023-01-12 00:00:00.000,Pendente,864.70,9578
