"id_pagamento","data_pagamento","valor_pago","metodo_pagamento","id_pedido"
109,2021-03-24,95.08,Cartão de Crédito,112
110,2023-01-02,111.72,PayPal,5052
111,2021-08-05,513.48,Pix,6827
112,2022-02-02,277.47,PayPal,6035
113,2020-02-08,519.85,Cartão de Crédito,3758
114,2023-06-02,278.36,Cartão de Crédito,3946
115,2021-10-23,902.38,Pix,1203
116,2023-05-24,225.7,Cartão de Crédito,5047
117,2022-10-22,945.87,PayPal,5009
118,2023-05-02,723.25,Boleto,6626
119,2020-11-14,809.47,Cartão de Crédito,3573
120,2021-10-16,43.08,Boleto,2091
121,2022-09-05,346.49,PayPal,8341
122,2023-06-30,939.63,PayPal,2520
123,2023-06-16,831.64,PayPal,8420
124,2023-01-01,133.9,PayPal,8146
125,2020-05-15,634.07,Cartão de Crédito,6163
126,2023-01-24,516.22,Pix,1359
127,2021-08-14,353.92,Boleto,2141
128,2020-05-17,632.78,Pix,8903
129,2023-12-18,960.69,Cartão de Crédito,7755
130,2023-03-11,451.6,PayPal,3704
131,2020-01-16,537.82,Boleto,630
132,2020-04-08,253.46,Cartão de Crédito,2585
133,2021-11-06,844.96,Boleto,3980
134,2023-03-27,914.99,Cartão de Crédito,8840
135,2023-11-01,671.46,Pix,474
136,2023-02-15,265.83,PayPal,1684
137,2021-12-11,139.4,Cartão de Crédito,9114
138,2020-07-09,866.67,Cartão de Crédito,1490
139,2022-07-09,527.31,Cartão de Crédito,6606
140,2022-02-14,109.82,Pix,4075
141,2022-04-24,495.48,Pix,8765
142,2022-10-31,195.68,PayPal,8981
143,2022-12-08,144.61,Boleto,2435
144,2020-03-04,745.46,PayPal,7082
145,2021-06-26,642.93,Cartão de Crédito,6681
146,2022-02-25,686.41,Cartão de Crédito,6640
147,2021-04-15,29.93,Cartão de Crédito,6779
148,2022-10-24,535.58,Cartão de Crédito,7620
149,2020-03-29,495.14,Pix,8191
150,2022-09-28,663.98,PayPal,5132
151,2020-10-31,851.96,Pix,3855
152,2021-02-21,899.36,PayPal,3152
153,2020-01-06,300.9,Pix,6918
154,2022-04-14,299.22,Cartão de Crédito,9817
155,2023-09-17,251.18,PayPal,4060
156,2021-07-01,124.97,Boleto,7211
157,2023-11-27,33.34,Pix,3404
158,2021-06-20,655.93,PayPal,7056
159,2022-01-16,683.71,Cartão de Crédito,8693
160,2020-11-18,786.29,Pix,2642
161,2020-10-31,374.37,Cartão de Crédito,7741
162,2021-12-11,542.33,Pix,1694
163,2023-01-29,20.66,Pix,6794
164,2023-05-18,204.42,PayPal,7225
165,2020-08-17,801.7,Boleto,7577
166,2020-11-21,953.85,Pix,2003
167,2023-09-07,568.71,Cartão de Crédito,5552
168,2021-02-10,801.3,Pix,4547
169,2023-12-15,925.38,Boleto,4752
170,2020-02-29,755.85,Boleto,5840
171,2022-12-22,899.14,Pix,1905
172,2023-08-02,271.43,Boleto,3410
173,2020-04-05,722.25,Pix,3456
174,2020-03-16,534.88,Boleto,5622
175,2020-07-05,34.6,PayPal,4980
176,2021-02-26,671.32,Cartão de Crédito,2937
177,2022-02-07,506.41,Cartão de Crédito,7729
178,2020-02-27,447.4,Pix,9357
179,2020-11-23,472.16,Boleto,7606
180,2022-01-18,812.34,Boleto,2882
181,2020-03-16,733.29,Pix,4854
182,2022-04-04,160.51,Boleto,7511
183,2021-04-30,925.39,Boleto,1109
184,2023-07-16,818.72,Cartão de Crédito,850
185,2022-07-26,616.54,PayPal,5581
186,2022-02-09,138.74,Boleto,4750
187,2022-01-02,662.17,PayPal,8732
188,2020-07-22,751.71,PayPal,4908
189,2023-11-02,81.32,PayPal,3594
190,2023-10-12,910.69,Pix,59
191,2023-03-30,700.76,PayPal,9249
192,2022-07-11,192.0,Cartão de Crédito,1231
193,2022-04-30,669.93,Cartão de Crédito,5240
194,2020-01-02,797.16,Cartão de Crédito,3563
195,2022-01-23,379.98,Boleto,9854
196,2023-03-30,365.17,Boleto,19
197,2020-01-18,584.08,Cartão de Crédito,5340
198,2022-07-04,860.55,PayPal,657
199,2022-09-19,904.9,Boleto,9853
200,2023-12-04,544.64,Cartão de Crédito,1065
201,2022-11-16,869.35,Boleto,4825
202,2022-05-26,248.38,Cartão de Crédito,7837
203,2022-06-20,847.88,PayPal,781
204,2022-05-29,891.9,Cartão de Crédito,215
205,2022-12-11,417.8,Pix,5088
206,2023-07-09,771.49,Boleto,9844
207,2020-09-10,710.69,Cartão de Crédito,6006
208,2023-09-18,657.91,Cartão de Crédito,557
209,2022-12-19,739.04,PayPal,1622
210,2022-12-03,322.01,Pix,3574
211,2022-01-30,390.9,Boleto,1027
212,2022-09-20,778.14,PayPal,7671
213,2023-11-22,821.96,Cartão de Crédito,4361
214,2021-01-23,48.68,Cartão de Crédito,6487
215,2020-09-18,151.75,Cartão de Crédito,2174
216,2020-03-08,365.65,Cartão de Crédito,1893
217,2023-05-14,702.95,Pix,672
218,2022-09-28,759.76,Boleto,4795
219,2023-04-05,595.44,Pix,5949
220,2023-12-30,776.37,Boleto,7066
221,2021-12-30,185.11,Cartão de Crédito,196
222,2020-06-21,662.96,PayPal,8222
223,2020-05-05,648.55,Pix,8492
224,2020-08-24,942.62,PayPal,7600
225,2021-05-09,294.11,Boleto,2052
226,2022-03-31,324.22,Boleto,8859
227,2022-01-20,992.92,Pix,4025
228,2020-09-13,405.25,Boleto,8707
229,2023-01-10,547.31,Cartão de Crédito,6827
230,2021-04-28,737.25,Cartão de Crédito,3030
231,2022-08-22,890.66,PayPal,2226
232,2022-06-08,202.44,Cartão de Crédito,2441
233,2023-03-25,650.95,Pix,3294
234,2020-04-29,275.51,Cartão de Crédito,2294
235,2020-04-10,518.78,Pix,6296
236,2021-11-30,737.78,Cartão de Crédito,6013
237,2020-06-09,905.35,Cartão de Crédito,7686
238,2022-04-22,490.56,PayPal,5526
239,2021-05-01,989.79,Boleto,1047
240,2022-09-28,555.32,PayPal,643
241,2021-04-10,29.51,Boleto,3470
242,2020-02-27,114.34,PayPal,1621
243,2020-02-02,265.46,PayPal,9727
244,2022-12-20,38.42,Cartão de Crédito,6032
245,2021-05-18,142.18,Boleto,3733
246,2023-09-10,543.14,Boleto,1783
247,2021-05-19,25.25,Cartão de Crédito,2778
248,2022-01-15,741.73,Cartão de Crédito,1690
249,2020-05-17,843.36,PayPal,9785
250,2022-03-17,76.41,PayPal,3971
251,2022-12-01,115.04,PayPal,8952
252,2022-01-01,114.09,Cartão de Crédito,7887
253,2020-02-12,326.08,Pix,5412
254,2020-07-24,397.28,Cartão de Crédito,2290
255,2022-02-05,472.69,Cartão de Crédito,1088
256,2020-05-02,506.76,Cartão de Crédito,358
257,2023-11-16,925.44,Pix,275
258,2022-12-09,83.8,Pix,9202
259,2023-11-11,146.47,Cartão de Crédito,206
260,2022-05-13,42.35,Boleto,8340
261,2021-12-17,74.46,PayPal,4042
262,2020-05-10,608.4,Pix,5955
263,2023-09-04,343.88,Cartão de Crédito,2963
264,2021-08-21,317.89,PayPal,7202
265,2022-06-07,644.85,Pix,1877
266,2021-10-10,962.88,PayPal,1930
267,2021-10-10,683.69,PayPal,7760
268,2021-07-19,568.22,PayPal,7330
269,2020-07-05,494.2,Pix,7835
270,2023-04-02,664.05,Cartão de Crédito,1738
271,2020-12-15,869.21,PayPal,7922
272,2022-06-26,107.93,Boleto,4215
273,2021-06-07,471.46,Boleto,270
274,2022-04-29,615.48,Cartão de Crédito,4517
275,2022-08-12,645.79,Cartão de Crédito,6677
276,2022-04-26,389.98,PayPal,9740
277,2020-09-29,56.63,PayPal,4682
278,2021-06-07,336.17,Boleto,206
279,2021-02-17,269.26,Pix,8920
280,2021-05-09,297.11,Pix,5049
281,2021-12-16,740.93,Pix,8202
282,2023-01-17,106.45,Pix,515
283,2023-03-16,389.22,PayPal,1021
284,2023-08-12,425.76,Pix,9720
285,2022-03-21,52.56,Pix,2250
286,2022-10-06,858.42,Cartão de Crédito,5463
287,2021-07-16,705.99,Boleto,6781
288,2022-12-07,364.96,Pix,1196
289,2020-11-27,988.08,PayPal,5133
290,2022-09-11,634.59,PayPal,2702
291,2021-12-22,169.06,PayPal,1890
292,2023-02-16,696.17,Pix,2561
293,2022-10-11,524.04,PayPal,5444
294,2021-01-12,710.8,Boleto,8142
295,2023-11-16,334.65,Cartão de Crédito,5317
296,2020-07-22,269.49,Pix,8957
297,2020-03-18,591.87,PayPal,2048
298,2020-11-06,56.09,PayPal,3661
299,2023-09-02,243.98,Pix,482
300,2020-08-08,84.52,Cartão de Crédito,3146
301,2021-11-02,673.7,PayPal,7401
302,2023-07-27,388.9,Boleto,885
303,2020-08-04,227.52,Boleto,9948
304,2020-03-10,209.16,PayPal,2243
305,2023-11-08,921.53,Pix,6273
306,2023-11-11,719.8,Pix,5356
307,2021-08-01,700.28,Cartão de Crédito,3734
308,2022-08-27,723.22,Pix,8600
309,2023-10-03,652.07,Boleto,6940
310,2020-10-29,46.74,PayPal,2915
311,2020-01-16,500.48,Pix,5385
312,2022-12-03,92.03,PayPal,4659
313,2023-12-15,999.55,PayPal,6065
314,2023-10-18,537.36,PayPal,7950
315,2023-06-26,279.97,Boleto,5704
316,2021-01-05,788.91,Pix,5107
317,2021-05-04,556.8,Pix,6954
318,2021-06-11,620.12,Pix,3812
319,2022-04-21,97.06,Cartão de Crédito,2203
320,2022-05-14,254.95,Pix,9755
321,2020-08-12,236.0,Pix,3856
322,2022-03-08,630.32,Boleto,6484
323,2022-04-30,595.67,Pix,3199
324,2023-06-24,622.44,PayPal,1823
325,2021-06-12,277.56,Pix,4119
326,2021-05-03,467.19,Boleto,6070
327,2021-01-20,576.41,PayPal,6841
328,2022-06-28,846.75,Pix,6344
329,2022-02-11,468.05,Boleto,3304
330,2021-10-28,216.18,PayPal,580
331,2023-11-16,285.83,Pix,1559
332,2020-09-18,345.19,Pix,8261
333,2020-06-08,661.83,Boleto,9269
334,2021-02-05,712.57,Cartão de Crédito,5240
335,2022-07-03,497.53,PayPal,2383
336,2023-12-27,120.98,Boleto,6246
337,2020-02-03,239.09,PayPal,278
338,2023-05-27,902.42,Pix,2899
339,2020-11-10,419.7,PayPal,4706
340,2021-05-18,855.49,Pix,1649
341,2020-07-02,381.92,PayPal,9061
342,2023-03-20,61.31,Boleto,1604
343,2022-07-07,772.9,Cartão de Crédito,4028
344,2020-04-19,225.92,Pix,1787
345,2021-01-18,215.62,Cartão de Crédito,8090
346,2022-01-05,826.39,Boleto,8198
347,2020-01-31,360.25,Pix,5169
348,2021-10-31,312.91,Cartão de Crédito,3859
349,2023-05-22,882.57,Boleto,8856
350,2023-05-10,387.67,Pix,7555
351,2021-05-31,986.78,Cartão de Crédito,6955
352,2020-11-08,174.33,Pix,4268
353,2021-02-06,672.85,Cartão de Crédito,6746
354,2021-06-21,29.5,Pix,7856
355,2022-10-25,251.14,PayPal,2815
356,2022-11-10,257.58,PayPal,976
357,2022-10-13,438.28,PayPal,3289
358,2020-11-13,773.25,Pix,9102
359,2021-03-11,191.01,Boleto,3081
360,2022-06-05,242.53,Pix,2444
361,2023-02-22,732.03,PayPal,7319
362,2020-03-03,819.02,Pix,5402
363,2020-07-04,748.36,PayPal,8400
364,2023-08-03,875.6,Boleto,599
365,2021-01-07,985.97,Cartão de Crédito,8695
366,2021-05-18,697.25,Pix,3614
367,2021-06-25,190.17,Boleto,8605
368,2020-03-25,335.29,Pix,5949
369,2023-03-02,865.51,Cartão de Crédito,7687
370,2020-11-06,270.76,PayPal,5820
371,2021-03-01,64.53,Pix,5835
372,2021-04-01,187.03,Cartão de Crédito,5328
373,2023-04-03,267.61,Pix,4313
374,2021-01-18,71.36,Boleto,479
375,2021-12-12,38.71,Cartão de Crédito,1577
376,2020-02-20,630.07,PayPal,7478
377,2023-11-23,375.72,Cartão de Crédito,2542
378,2020-05-24,448.22,Pix,9387
379,2020-08-07,761.77,Boleto,9961
380,2023-11-11,436.35,Pix,739
381,2023-11-27,187.86,Cartão de Crédito,8382
382,2023-10-25,952.47,PayPal,9669
383,2022-10-13,590.46,Pix,7359
384,2023-11-10,499.95,Pix,2893
385,2023-02-19,200.88,Pix,3738
386,2022-09-30,148.73,PayPal,325
387,2020-01-12,859.31,Cartão de Crédito,5724
388,2020-03-22,802.7,PayPal,9701
389,2020-01-10,82.33,Pix,936
390,2020-07-18,512.4,Cartão de Crédito,3876
391,2020-03-17,747.94,Cartão de Crédito,3420
392,2022-04-07,48.44,Boleto,7925
393,2020-12-29,940.13,Cartão de Crédito,345
394,2022-04-21,459.32,PayPal,9860
395,2023-07-18,999.29,PayPal,9311
396,2022-07-02,751.41,PayPal,4493
397,2020-08-16,910.72,Cartão de Crédito,8689
398,2021-04-24,852.0,PayPal,8233
399,2023-01-19,921.65,Cartão de Crédito,6328
400,2022-02-26,472.03,Cartão de Crédito,9403
401,2022-10-15,852.85,Cartão de Crédito,1541
402,2021-12-26,596.31,Pix,4721
403,2022-04-16,857.83,Cartão de Crédito,6073
404,2022-06-29,534.76,Cartão de Crédito,6462
405,2023-11-21,504.77,Cartão de Crédito,5021
406,2021-02-13,63.86,Cartão de Crédito,6102
407,2022-12-07,553.37,Pix,8452
408,2022-06-16,101.71,PayPal,8440
409,2020-03-12,906.74,Cartão de Crédito,4752
410,2021-02-23,295.24,Pix,2966
411,2021-01-22,588.06,PayPal,1417
412,2023-08-22,665.4,PayPal,6975
413,2021-05-26,358.05,Pix,2074
414,2022-02-12,586.2,PayPal,3388
415,2023-03-16,702.34,PayPal,4767
416,2021-08-10,392.34,Pix,329
417,2020-10-18,977.49,Pix,9900
418,2023-04-06,760.08,Cartão de Crédito,2513
419,2023-08-28,680.03,Cartão de Crédito,8662
420,2022-09-18,371.61,Cartão de Crédito,2135
421,2021-05-20,261.84,PayPal,8455
422,2022-05-27,440.18,Cartão de Crédito,703
423,2020-02-22,168.0,Pix,6303
424,2021-09-29,901.81,Pix,9620
425,2023-02-06,239.58,PayPal,9636
426,2021-10-02,293.05,PayPal,9980
427,2022-01-07,637.95,Cartão de Crédito,2816
428,2020-05-30,773.03,Pix,9227
429,2023-10-26,692.93,Boleto,9926
430,2022-08-26,549.23,Cartão de Crédito,8577
431,2023-07-20,868.27,PayPal,6256
432,2020-08-04,958.8,Boleto,8910
433,2020-07-03,886.07,Boleto,1316
434,2022-12-25,372.74,PayPal,3043
435,2023-12-29,491.95,Pix,3104
436,2022-10-18,391.17,Boleto,1693
437,2023-01-30,923.01,Pix,1373
438,2021-09-26,573.91,Boleto,4667
439,2020-11-27,291.56,PayPal,1958
440,2022-07-29,810.84,PayPal,434
441,2020-02-21,12.88,Boleto,5753
442,2023-07-03,415.36,Cartão de Crédito,938
443,2020-10-18,376.36,PayPal,1684
444,2020-07-09,479.48,PayPal,4886
445,2020-01-06,659.44,Cartão de Crédito,6312
446,2022-12-14,382.11,Pix,7763
447,2022-07-13,967.98,Boleto,3951
448,2023-04-17,588.66,Boleto,8381
449,2021-01-17,72.9,Cartão de Crédito,2540
450,2020-11-07,172.21,PayPal,9350
451,2021-04-13,233.95,Cartão de Crédito,8115
452,2022-02-23,296.86,Boleto,3826
453,2022-07-17,440.15,Cartão de Crédito,7069
454,2020-06-10,82.51,Boleto,9202
455,2021-09-30,612.91,Pix,7047
456,2021-02-12,866.77,Cartão de Crédito,1261
457,2023-01-17,940.35,Pix,4586
458,2022-10-02,820.71,PayPal,552
459,2023-06-25,106.42,PayPal,2451
460,2020-06-24,226.58,Boleto,5505
461,2021-01-20,179.19,Pix,6354
462,2022-02-24,712.21,PayPal,5290
463,2023-09-04,514.27,Cartão de Crédito,1140
464,2021-10-12,946.22,Cartão de Crédito,9853
465,2022-04-19,998.03,Pix,6248
466,2023-11-18,922.0,Cartão de Crédito,2239
467,2020-01-18,399.1,Pix,81
468,2022-05-16,75.47,Cartão de Crédito,121
469,2021-03-20,585.88,PayPal,600
470,2023-09-27,811.92,Boleto,9959
471,2022-09-01,375.86,Pix,5288
472,2023-01-15,869.38,Pix,4881
473,2021-01-29,831.09,Pix,5205
474,2021-02-11,873.99,Boleto,3951
475,2021-01-13,415.43,Pix,1341
476,2023-11-28,431.4,Boleto,9942
477,2022-11-04,825.38,Cartão de Crédito,9866
478,2022-12-15,272.96,Pix,1706
479,2023-02-06,311.49,Pix,3480
480,2023-11-11,489.69,PayPal,3188
481,2021-07-22,760.47,Cartão de Crédito,9553
482,2021-04-07,109.74,Cartão de Crédito,8012
483,2021-06-21,405.82,Cartão de Crédito,3894
484,2021-08-11,791.18,PayPal,8169
485,2023-10-04,768.57,Boleto,5521
486,2020-12-20,266.92,Pix,250
487,2023-08-31,803.89,PayPal,6626
488,2022-09-25,453.63,PayPal,7537
489,2021-04-25,703.72,Boleto,8382
490,2023-01-21,20.94,PayPal,5050
491,2021-01-12,787.09,Cartão de Crédito,5255
492,2020-09-26,340.07,Boleto,7767
493,2020-07-10,852.19,Boleto,2476
494,2020-03-29,703.09,Cartão de Crédito,2664
495,2020-08-06,153.29,PayPal,8761
496,2020-01-29,851.07,Boleto,5317
497,2020-01-18,655.27,Pix,7869
498,2022-05-08,823.03,Cartão de Crédito,2795
499,2021-10-16,20.32,Cartão de Crédito,6321
500,2022-11-11,188.45,Boleto,5465
501,2023-10-10,230.57,PayPal,2365
502,2023-11-06,941.33,Pix,6626
503,2022-06-06,183.46,Cartão de Crédito,6349
504,2023-06-30,904.61,PayPal,7956
505,2020-02-08,860.44,Pix,9400
506,2022-09-13,275.52,PayPal,8478
507,2023-09-09,420.95,PayPal,1240
508,2023-12-27,439.56,Boleto,9003
509,2020-10-21,610.14,Cartão de Crédito,7663
510,2021-03-04,58.62,Boleto,1207
511,2021-07-05,780.86,PayPal,3749
512,2021-10-27,183.78,Boleto,5028
513,2022-07-30,525.11,Pix,8555
514,2023-11-21,663.81,Pix,9128
515,2022-03-03,228.1,Cartão de Crédito,5371
516,2023-11-30,185.58,PayPal,5819
517,2020-08-10,515.94,Boleto,9198
518,2023-05-29,674.58,Pix,7176
519,2021-01-21,309.65,Boleto,5328
520,2022-02-01,237.02,Pix,8370
521,2020-06-02,530.75,Cartão de Crédito,42
522,2021-05-29,853.9,PayPal,3682
523,2020-05-18,976.37,Pix,3580
524,2020-07-01,455.98,Pix,3147
525,2020-07-16,62.89,Pix,4093
526,2023-05-30,819.29,Boleto,7987
527,2023-10-29,506.73,Cartão de Crédito,1064
528,2021-08-21,451.63,Boleto,5914
529,2021-05-14,251.4,PayPal,9137
530,2021-08-24,782.04,Cartão de Crédito,660
531,2022-09-05,732.98,Cartão de Crédito,518
532,2020-10-16,431.41,Cartão de Crédito,2947
533,2023-01-21,329.38,Pix,4223
534,2021-09-07,888.77,PayPal,8128
535,2022-07-20,922.18,Cartão de Crédito,1310
536,2023-03-30,694.45,Boleto,9844
537,2020-12-21,700.66,Boleto,2170
538,2020-03-29,581.53,Boleto,2820
539,2020-07-04,551.15,Boleto,5220
540,2020-05-14,591.0,Pix,8890
541,2023-08-18,785.64,Boleto,5710
542,2023-01-18,707.01,Boleto,3676
543,2023-06-06,923.68,Pix,9241
544,2020-03-27,547.39,Pix,6947
545,2022-05-30,31.64,Pix,4615
546,2022-02-10,336.4,Boleto,3753
547,2023-01-10,602.68,PayPal,2190
548,2022-10-02,291.8,Pix,6716
549,2023-02-18,932.05,Boleto,3722
550,2022-05-06,530.18,Boleto,4690
551,2021-10-16,856.94,PayPal,2554
552,2023-04-22,990.05,PayPal,8111
553,2021-11-16,962.38,Pix,7687
554,2022-06-21,402.49,Pix,5330
555,2022-07-03,731.8,Pix,9186
556,2023-09-16,481.44,Pix,7212
557,2021-03-29,54.6,PayPal,6347
558,2020-07-12,903.02,Pix,3782
559,2021-02-16,435.78,Cartão de Crédito,8534
560,2020-07-23,117.03,PayPal,1070
561,2021-08-27,251.31,Cartão de Crédito,831
562,2021-10-21,349.43,Cartão de Crédito,1774
563,2023-07-10,424.35,PayPal,9334
564,2022-01-13,616.43,Cartão de Crédito,1241
565,2023-04-21,462.19,Pix,883
566,2021-02-03,552.62,Pix,5204
567,2020-07-21,54.82,Pix,7126
568,2023-11-12,399.93,PayPal,2691
569,2021-05-30,365.35,Pix,2987
570,2022-07-30,20.66,PayPal,7590
571,2021-11-03,226.15,Pix,7816
572,2023-10-12,527.19,Pix,8427
573,2022-07-11,653.4,Cartão de Crédito,2684
574,2022-05-05,593.9,Boleto,3200
575,2023-03-10,195.19,Boleto,5073
576,2021-04-18,41.05,PayPal,2476
577,2023-02-15,974.32,Boleto,8106
578,2020-01-15,227.46,Boleto,4355
579,2023-12-29,566.17,Boleto,1102
580,2021-07-20,75.38,Boleto,8965
581,2020-04-24,779.57,Boleto,8429
582,2022-07-23,985.18,Boleto,2018
583,2023-01-04,177.77,PayPal,8023
584,2020-01-13,873.6,PayPal,5422
585,2020-11-15,101.17,PayPal,4701
586,2021-10-30,923.64,Cartão de Crédito,1684
587,2022-11-14,905.66,Pix,3183
588,2020-04-24,827.83,Pix,6848
589,2020-03-24,591.12,Cartão de Crédito,4980
590,2020-03-07,41.9,Pix,2429
591,2021-12-15,821.18,Pix,6633
592,2023-05-07,899.47,Cartão de Crédito,493
593,2022-09-21,331.12,Cartão de Crédito,885
594,2022-09-09,618.81,Pix,7915
595,2020-04-16,286.85,Pix,9309
596,2020-09-12,617.64,Cartão de Crédito,5351
597,2021-04-10,380.75,PayPal,3484
598,2021-07-13,422.69,Cartão de Crédito,1190
599,2020-08-16,516.91,PayPal,6686
600,2021-04-07,79.46,Pix,22
601,2020-01-29,335.43,Cartão de Crédito,9134
602,2022-09-09,938.91,Cartão de Crédito,1805
603,2020-12-01,411.4,Pix,6356
604,2020-08-25,197.89,Cartão de Crédito,4970
605,2021-05-18,385.19,Cartão de Crédito,409
606,2020-09-16,230.33,Boleto,1764
607,2020-03-15,657.85,Pix,7114
608,2022-07-28,880.11,Boleto,1562
609,2021-12-27,387.76,Cartão de Crédito,7667
610,2023-05-29,935.38,Pix,1996
611,2022-01-12,851.5,PayPal,2059
612,2021-10-10,768.31,Pix,2438
613,2023-08-03,903.75,Cartão de Crédito,1057
614,2022-07-15,735.14,Cartão de Crédito,4635
615,2022-04-10,735.24,Boleto,1206
616,2021-05-05,703.05,Cartão de Crédito,5085
617,2021-04-16,678.87,PayPal,8922
618,2022-03-25,800.28,Cartão de Crédito,3974
619,2023-06-12,574.99,Pix,6309
620,2021-09-11,564.45,PayPal,2515
621,2020-12-03,85.77,PayPal,2898
622,2021-11-03,307.26,PayPal,8428
623,2023-05-26,294.72,Boleto,6467
624,2022-09-08,474.45,Pix,109
625,2021-01-20,189.32,Pix,904
626,2020-08-03,198.04,Boleto,8679
627,2021-06-04,823.17,Boleto,9153
628,2021-08-11,855.81,Cartão de Crédito,3448
629,2022-01-14,790.03,Pix,5338
630,2022-11-01,82.82,Pix,6142
631,2023-11-27,761.26,Boleto,8149
632,2023-12-30,360.39,Pix,3530
633,2022-04-05,471.54,Pix,1694
634,2022-08-31,954.01,Pix,575
635,2023-08-24,571.22,Pix,7869
