"id_item","quantidade","preco_unitario","subtotal","id_pedido","id_produto"
301,7,66.4,464.8,8440,8969
302,10,119.85,1198.5,2512,4360
303,3,510.88,1532.64,9343,3391
304,9,973.31,8759.79,6630,1107
305,4,708.93,2835.72,8598,1601
306,5,468.01,2340.05,9999,4880
307,10,756.73,7567.3,795,9421
308,10,520.35,5203.5,7768,8820
309,1,757.92,757.92,7819,4456
310,8,376.36,3010.88,855,8608
311,6,802.1,4812.6,9121,6759
312,4,479.62,1918.48,4122,7377
313,5,505.45,2527.25,7096,565
314,9,786.43,7077.87,3183,1844
315,4,206.67,826.68,960,6456
316,9,299.49,2695.41,506,8345
317,5,380.47,1902.35,2957,7191
318,9,535.03,4815.27,5577,712
319,7,372.81,2609.67,4544,7609
320,9,174.32,1568.88,7184,17
321,1,468.02,468.02,725,3980
322,6,381.86,2291.16,5792,3336
323,8,451.45,3611.6,9238,7498
324,4,583.16,2332.64,199,7425
325,9,274.76,2472.84,2187,9567
326,6,582.7,3496.2,5254,6186
327,4,311.68,1246.72,2521,3759
328,2,574.62,1149.24,3809,5574
329,4,32.37,129.48,9193,1092
330,1,180.01,180.01,8311,1126
331,8,420.24,3361.92,1647,8449
332,8,586.43,4691.44,8647,8259
333,3,35.07,105.21,3352,587
334,3,665.06,1995.18,9155,3971
335,3,577.34,1732.02,5285,504
336,4,854.4,3417.6,4394,5901
337,10,821.34,8213.4,2357,8199
338,2,774.01,1548.02,5858,334
339,7,850.54,5953.78,2865,8119
340,8,778.75,6230.0,4124,2156
341,2,171.65,343.3,2766,2605
342,10,519.21,5192.1,5197,4620
343,4,779.61,3118.44,6240,9459
344,6,866.32,5197.92,7004,7563
345,4,143.53,574.12,5061,9521
346,7,923.12,6461.84,3986,1161
347,6,272.36,1634.16,360,8390
348,3,229.72,689.16,3339,5648
349,10,652.59,6525.9,5659,8030
350,3,219.27,657.81,1250,9112
351,9,215.16,1936.44,6470,7120
352,3,423.75,1271.25,5535,4600
353,8,171.02,1368.16,5766,4354
354,1,545.69,545.69,6123,2898
355,3,705.49,2116.47,1104,9756
356,5,340.97,1704.85,7464,9768
357,10,586.55,5865.5,4412,8536
358,7,740.3,5182.1,7244,8151
359,5,93.58,467.9,3273,3296
360,5,728.36,3641.8,6004,2323
361,3,55.58,166.74,5990,6965
362,6,220.92,1325.52,1201,641
363,7,102.77,719.39,3288,6716
364,9,685.86,6172.74,768,7485
365,6,100.69,604.14,6108,756
366,1,899.01,899.01,4396,8600
367,4,374.59,1498.36,183,8695
368,5,470.38,2351.9,244,6168
369,5,946.25,4731.25,5816,2258
370,2,388.72,777.44,7943,8132
371,1,681.7,681.7,9686,7716
372,6,270.43,1622.58,1657,6093
373,1,442.15,442.15,5568,8467
374,1,409.37,409.37,4362,3476
375,3,215.0,645.0,1256,6551
376,6,976.85,5861.1,280,4079
377,8,760.75,6086.0,8530,4120
378,2,738.14,1476.28,8311,5671
379,4,295.16,1180.64,1261,1274
380,6,168.63,1011.78,6197,4957
381,10,139.05,1390.5,664,9642
382,9,528.0,4752.0,787,8486
383,10,446.92,4469.2,6156,4279
384,9,115.46,1039.14,1313,2739
385,6,513.47,3080.82,6661,1837
386,7,285.98,2001.86,1688,6449
387,8,863.52,6908.16,8557,6037
388,9,660.4,5943.6,8854,2801
389,5,247.6,1238.0,1762,7445
390,4,827.27,3309.08,3427,2121
391,3,94.0,282.0,4313,3100
392,9,394.93,3554.37,6292,7188
393,10,658.45,6584.5,3783,4301
394,5,50.39,251.95,778,9135
395,5,434.37,2171.85,7964,8211
396,7,883.35,6183.45,5783,6806
397,6,962.54,5775.24,4963,3457
398,5,158.51,792.55,3032,3788
399,5,904.15,4520.75,3889,4997
400,4,62.2,248.8,5501,5665
401,2,79.47,158.94,8377,7667
402,1,169.4,169.4,8216,109
403,8,51.29,410.32,7801,4814
404,7,541.77,3792.39,5328,5853
405,10,287.03,2870.3,6859,7058
406,8,787.51,6300.08,7378,5606
407,5,476.25,2381.25,4492,6945
408,4,172.4,689.6,7446,5803
409,6,374.48,2246.88,5819,3653
410,5,222.85,1114.25,2301,3991
411,4,512.48,2049.92,9533,2871
412,1,586.72,586.72,7287,8474
413,1,124.07,124.07,684,6394
414,1,291.09,291.09,1521,3327
415,6,76.21,457.26,283,7039
416,4,878.56,3514.24,9823,9236
417,7,668.2,4677.4,4685,2596
418,1,750.56,750.56,8082,1771
419,4,393.03,1572.12,1200,1471
420,10,667.72,6677.2,6524,312
421,3,596.05,1788.15,6023,4742
422,5,14.43,72.15,8943,4796
423,6,852.94,5117.64,5351,463
424,10,707.41,7074.1,4480,2498
425,5,129.72,648.6,8379,9929
426,9,756.11,6804.99,6251,8521
427,2,40.17,80.34,6989,7343
428,5,109.89,549.45,9771,9371
429,5,703.73,3518.65,7366,3763
430,7,704.83,4933.81,213,8477
431,8,687.24,5497.92,135,34
432,2,386.73,773.46,9697,8244
433,1,177.62,177.62,2080,2473
434,4,64.12,256.48,7005,8260
435,5,266.35,1331.75,6312,4952
436,10,826.62,8266.2,9214,3628
437,4,330.51,1322.04,5162,765
438,10,351.22,3512.2,3327,9509
439,8,104.76,838.08,9533,5390
440,10,125.03,1250.3,2019,4273
441,1,599.51,599.51,3316,7987
442,1,171.92,171.92,5620,6268
443,7,588.64,4120.48,6999,5
444,6,922.85,5537.1,1117,2898
445,3,55.93,167.79,9028,129
446,6,123.15,738.9,712,1563
447,4,177.77,711.08,6916,3823
448,3,316.46,949.38,7410,4648
449,6,711.1,4266.6,8026,2381
450,6,574.37,3446.22,3245,2505
451,3,110.81,332.43,7745,7397
452,2,158.57,317.14,1434,8838
453,7,113.03,791.21,9119,4210
454,7,902.44,6317.08,2506,8493
455,6,957.46,5744.76,7147,9086
456,9,81.06,729.54,4670,8424
457,8,122.86,982.88,9671,1897
458,4,32.65,130.6,5823,2217
459,7,470.14,3290.98,9927,1761
460,4,792.78,3171.12,8459,773
461,8,405.77,3246.16,4819,8032
462,5,821.59,4107.95,3403,5685
463,9,945.45,8509.05,1317,9467
464,2,932.26,1864.52,2786,6821
465,3,845.07,2535.21,7971,8853
466,10,804.11,8041.1,3324,5068
467,4,961.91,3847.64,2552,2480
468,9,52.7,474.3,2903,9734
469,2,943.9,1887.8,9554,2906
470,6,588.86,3533.16,6513,8155
471,9,897.6,8078.4,7928,1646
472,3,594.33,1782.99,1877,8902
473,2,80.97,161.94,1080,1377
474,5,642.55,3212.75,9531,9569
475,7,548.3,3838.1,8198,3232
476,8,709.97,5679.76,2245,37
477,4,700.32,2801.28,3854,3347
478,7,966.21,6763.47,1380,5801
479,7,161.28,1128.96,7120,8548
480,7,688.08,4816.56,4362,1947
481,3,103.99,311.97,5448,9381
482,3,309.4,928.2,6787,3957
483,3,30.87,92.61,3562,5090
484,3,674.03,2022.09,4562,7227
485,5,197.13,985.65,7807,9879
486,10,309.65,3096.5,4216,5653
487,9,593.23,5339.07,7667,530
488,10,920.78,9207.8,9050,6046
489,1,851.31,851.31,4843,3299
490,2,190.37,380.74,4273,6247
491,9,838.05,7542.45,7236,811
492,3,300.32,900.96,1936,2689
493,6,514.99,3089.94,5404,9079
494,4,729.22,2916.88,8300,8918
495,9,848.62,7637.58,3824,6850
496,2,10.36,20.72,7077,4030
497,2,219.11,438.22,8462,3568
498,4,68.66,274.64,8493,8576
499,9,591.68,5325.12,4735,7133
500,5,304.86,1524.3,7524,8428
501,7,740.71,5184.97,6854,4163
502,3,374.1,1122.3,8910,861
503,9,232.34,2091.06,8606,1547
504,6,498.92,2993.52,9536,9745
505,3,812.91,2438.73,7637,6602
506,5,362.52,1812.6,1312,9833
507,5,685.62,3428.1,7114,9721
508,3,54.52,163.56,9010,2875
509,4,311.9,1247.6,8063,7096
510,8,731.56,5852.48,2220,5858
511,9,58.37,525.33,2390,5079
512,2,829.55,1659.1,2344,9526
513,7,762.92,5340.44,7417,4967
514,10,310.55,3105.5,5843,8414
515,3,616.84,1850.52,8607,9195
516,2,743.3,1486.6,4588,5620
517,5,401.06,2005.3,7288,6859
518,7,256.62,1796.34,3333,5529
519,2,77.78,155.56,2317,1464
520,5,772.79,3863.95,5149,5178
521,1,584.03,584.03,6432,5181
522,5,83.88,419.4,3761,7711
523,6,752.67,4516.02,2242,2767
524,9,223.43,2010.87,2739,1483
525,5,85.17,425.85,1625,6476
526,8,747.87,5982.96,6336,2168
527,4,480.77,1923.08,5288,5872
528,3,615.53,1846.59,5514,6472
529,10,154.26,1542.6,1163,9858
530,1,486.57,486.57,336,5161
531,2,693.7,1387.4,6345,2230
532,7,208.62,1460.34,2429,107
533,1,405.99,405.99,399,2554
534,5,955.26,4776.3,5819,6286
535,4,611.84,2447.36,919,379
536,4,196.65,786.6,9681,8299
537,7,799.99,5599.93,5455,1116
538,2,758.77,1517.54,4958,3673
539,8,747.69,5981.52,7784,2493
540,10,177.63,1776.3,7303,3854
541,6,910.43,5462.58,8768,2587
542,5,296.78,1483.9,5898,9435
543,4,64.35,257.4,3071,6729
544,4,825.88,3303.52,494,9964
545,3,591.01,1773.03,8305,2111
546,9,968.57,8717.13,3710,1867
547,7,158.67,1110.69,9875,2549
548,1,499.73,499.73,2121,9434
549,1,724.16,724.16,8614,3165
550,2,234.97,469.94,5384,4677
551,5,565.6,2828.0,2659,678
552,2,591.57,1183.14,3539,6855
553,6,261.33,1567.98,1897,458
554,7,232.67,1628.69,1474,3366
555,2,804.83,1609.66,5197,24
556,5,959.8,4799.0,3378,22
557,1,700.57,700.57,4175,6145
558,5,564.1,2820.5,8915,3891
559,5,81.6,408.0,1824,8682
560,5,666.94,3334.7,4597,989
561,7,306.16,2143.12,1811,2542
562,4,257.35,1029.4,9094,3292
563,1,971.74,971.74,8910,4955
564,9,104.84,943.56,1010,740
565,5,563.32,2816.6,8082,8858
566,9,842.33,7580.97,3637,5062
567,3,460.59,1381.77,2822,3899
568,9,858.15,7723.35,2667,2191
569,7,916.24,6413.68,9930,1652
570,7,748.52,5239.64,641,7582
571,8,555.46,4443.68,7093,9822
572,8,449.57,3596.56,4961,5514
573,4,618.84,2475.36,8422,4947
574,2,360.62,721.24,4090,6612
575,7,768.63,5380.41,7792,7253
576,10,945.89,9458.9,721,2472
577,9,361.15,3250.35,5826,9629
578,6,755.29,4531.74,1335,6942
579,8,394.64,3157.12,4640,69
580,6,560.85,3365.1,8231,7463
581,1,144.68,144.68,2760,1545
582,4,820.48,3281.92,5409,2359
583,9,736.97,6632.73,3923,149
584,5,780.26,3901.3,730,8764
585,5,24.96,124.8,3293,6032
586,6,822.73,4936.38,6960,9347
587,6,72.14,432.84,459,6727
588,1,362.47,362.47,574,1369
589,1,282.18,282.18,6101,1895
590,9,586.47,5278.23,2302,8252
591,7,494.74,3463.18,1130,857
592,10,786.59,7865.9,6036,9475
593,3,106.43,319.29,9027,5439
594,8,996.67,7973.36,9543,698
595,8,884.68,7077.44,6693,5854
596,4,76.99,307.96,9403,8073
597,1,136.67,136.67,4951,4326
598,2,664.2,1328.4,2523,6320
599,2,351.52,703.04,6723,8215
600,5,280.68,1403.4,7974,4238
601,7,575.67,4029.69,3868,8733
602,3,184.72,554.16,4830,6867
603,10,117.06,1170.6,4965,2634
604,7,650.16,4551.12,3376,7682
605,10,113.09,1130.9,6843,9881
606,5,685.52,3427.6,4445,3148
607,10,974.72,9747.2,9778,776
608,3,688.46,2065.38,6437,4183
609,7,65.62,459.34,8815,2683
610,9,967.35,8706.15,4926,5970
611,9,649.79,5848.11,105,7439
612,5,827.0,4135.0,3480,6095
613,6,290.18,1741.08,2170,6514
614,10,53.61,536.1,8719,2417
615,1,142.18,142.18,6872,8449
616,2,419.36,838.72,7284,6900
617,3,515.08,1545.24,8117,7385
618,5,470.53,2352.65,9274,5137
619,2,425.71,851.42,2020,3164
620,9,801.5,7213.5,37,3449
621,6,53.22,319.32,4187,9844
622,6,734.02,4404.12,5673,4660
623,9,364.74,3282.66,8324,8423
624,5,266.51,1332.55,2521,20
625,9,284.96,2564.64,2335,4984
626,6,281.01,1686.06,9807,3585
627,9,654.04,5886.36,2733,894
628,1,606.67,606.67,2676,3070
629,6,119.24,715.44,9805,3828
630,8,467.4,3739.2,7275,3995
631,5,980.95,4904.75,6832,7882
632,9,493.97,4445.73,5299,3520
633,1,936.97,936.97,55,3210
634,8,762.77,6102.16,1235,7731
635,5,109.75,548.75,7758,1342
636,6,254.19,1525.14,9944,1432
637,8,681.86,5454.88,5269,670
638,5,433.05,2165.25,2522,79
639,7,673.81,4716.67,6288,4096
640,3,611.55,1834.65,3530,4142
641,9,807.99,7271.91,1139,1498
642,5,73.84,369.2,4007,683
643,5,170.15,850.75,417,8492
644,1,14.39,14.39,9094,7622
645,6,503.93,3023.58,1772,6469
646,1,956.18,956.18,2038,9584
647,7,164.45,1151.15,2179,2027
648,7,483.25,3382.75,5676,6241
649,1,763.92,763.92,5118,9097
650,2,802.94,1605.88,4557,8254
651,2,487.83,975.66,2311,6231
652,1,301.62,301.62,4785,974
653,9,646.76,5820.84,3133,1851
654,1,219.51,219.51,115,2433
655,4,232.73,930.92,9566,3746
656,8,37.09,296.72,1959,583
657,4,370.28,1481.12,3201,9226
658,7,640.13,4480.91,3349,1672
659,7,50.96,356.72,6810,9103
660,2,839.53,1679.06,4741,2602
661,2,173.51,347.02,4714,5626
662,1,219.03,219.03,4619,8641
663,5,302.03,1510.15,9662,890
664,2,813.11,1626.22,4987,4071
665,7,438.37,3068.59,1399,7131
666,10,331.13,3311.3,4441,3045
667,4,836.99,3347.96,5123,1222
668,3,617.51,1852.53,2662,506
669,1,510.19,510.19,8907,4221
670,1,763.08,763.08,8208,8173
671,9,286.22,2575.98,6584,9795
672,9,359.53,3235.77,8241,1255
673,5,571.57,2857.85,6107,1555
674,7,521.74,3652.18,9412,7475
675,9,980.63,8825.67,819,3134
676,7,81.22,568.54,6697,1724
677,4,586.37,2345.48,4311,1295
678,7,641.74,4492.18,2000,7587
679,7,937.84,6564.88,178,7328
680,10,711.77,7117.7,4617,3901
681,1,182.4,182.4,7650,3923
682,6,56.41,338.46,8796,7200
683,2,174.02,348.04,1849,215
684,5,543.38,2716.9,9973,5739
685,8,381.68,3053.44,3482,7498
686,4,455.86,1823.44,1839,2351
687,5,49.43,247.15,2837,3800
688,6,985.27,5911.62,752,3910
689,6,516.85,3101.1,1558,6152
690,5,377.57,1887.85,8333,3637
691,5,979.72,4898.6,8698,4063
692,8,473.71,3789.68,1883,7071
693,4,965.03,3860.12,8195,916
694,1,763.86,763.86,838,986
695,6,978.62,5871.72,4878,3729
696,7,308.79,2161.53,4791,5035
697,7,231.41,1619.87,745,253
698,1,572.91,572.91,1891,3780
699,8,392.46,3139.68,9194,6976
700,9,428.83,3859.47,7313,9246
701,6,846.31,5077.86,3258,6680
702,4,258.33,1033.32,436,3324
703,10,380.25,3802.5,7525,4016
704,6,425.97,2555.82,7356,2716
705,8,645.45,5163.6,8796,5995
706,10,46.35,463.5,5531,3897
707,10,479.62,4796.2,8617,8566
708,6,623.1,3738.6,5307,5911
709,10,472.57,4725.7,7461,5971
710,2,302.69,605.38,8221,415
711,7,700.96,4906.72,9861,6721
712,8,170.31,1362.48,9065,5220
713,1,404.01,404.01,8606,7425
714,2,707.73,1415.46,5716,2045
715,5,347.56,1737.8,8258,7209
716,2,289.64,579.28,1000,9187
717,6,524.58,3147.48,6704,7334
718,7,708.13,4956.91,4835,1817
719,5,210.38,1051.9,4335,3211
720,3,134.6,403.8,1454,5453
721,3,340.9,1022.7,2547,228
722,9,913.54,8221.86,718,8145
723,9,895.77,8061.93,2003,4525
724,6,137.96,827.76,6742,677
725,9,633.88,5704.92,961,9322
726,8,330.91,2647.28,2882,5984
727,1,593.35,593.35,736,3903
728,4,84.22,336.88,7287,5168
729,3,71.66,214.98,5337,9806
730,6,857.44,5144.64,7232,1581
731,2,218.12,436.24,306,5243
732,1,280.04,280.04,2446,511
733,4,767.43,3069.72,8561,5077
734,7,627.91,4395.37,9932,310
735,3,950.57,2851.71,6046,466
736,4,812.89,3251.56,9936,2643
737,1,334.8,334.8,700,7607
738,6,173.61,1041.66,7241,5740
739,5,430.1,2150.5,8780,8083
740,3,927.79,2783.37,6989,7890
741,4,736.82,2947.28,8438,7660
742,2,335.55,671.1,2831,2112
743,7,122.22,855.54,3677,3970
744,7,511.36,3579.52,6639,9168
745,3,454.18,1362.54,5324,8763
746,4,401.27,1605.08,7405,3447
747,2,173.47,346.94,5094,102
748,9,225.4,2028.6,6319,2259
749,5,180.4,902.0,4124,9795
750,2,277.96,555.92,2630,2370
751,5,876.78,4383.9,1709,7491
752,2,370.25,740.5,8195,5399
753,4,743.09,2972.36,8499,4764
754,5,777.29,3886.45,6148,8282
