"id_produto","nome","descricao","preco","estoque","categoria"
35,Produto_4413,Descrição do Produto_4413,34.79,59,"9"
36,Produto_6919,Descrição do Produto_6919,363.62,66,"10"
37,Produto_873,Descrição do Produto_873,599.55,37,"9"
38,Produto_9337,Descrição do Produto_9337,801.55,39,"8"
39,Produto_3123,Descrição do Produto_3123,719.75,55,"6"
40,Produto_3415,Descrição do Produto_3415,608.00,75,"10"
41,Produto_6235,Descrição do Produto_6235,731.84,8,"3"
42,Produto_9835,Descrição do Produto_9835,165.65,97,"10"
43,Produto_6726,Descrição do Produto_6726,215.55,77,"3"
44,Produto_4621,Descrição do Produto_4621,842.25,82,"6"
45,Produto_7859,Descrição do Produto_7859,840.85,67,"4"
46,Produto_2281,Descrição do Produto_2281,531.95,72,"2"
47,Produto_3293,Descrição do Produto_3293,580.23,45,"7"
48,Produto_7989,Descrição do Produto_7989,401.71,96,"1"
49,Produto_4372,Descrição do Produto_4372,69.21,64,"8"
50,Produto_9750,Descrição do Produto_9750,769.08,5,"1"
51,Produto_1353,Descrição do Produto_1353,58.82,47,"9"
52,Produto_4705,Descrição do Produto_4705,761.96,93,"7"
53,Produto_4678,Descrição do Produto_4678,663.37,16,"7"
54,Produto_9756,Descrição do Produto_9756,119.60,97,"4"
55,Produto_1190,Descrição do Produto_1190,669.39,95,"2"
56,Produto_8141,Descrição do Produto_8141,987.50,47,"4"
57,Produto_5739,Descrição do Produto_5739,909.51,48,"5"
58,Produto_4676,Descrição do Produto_4676,846.12,46,"4"
59,Produto_1865,Descrição do Produto_1865,586.88,87,"2"
60,Produto_9370,Descrição do Produto_9370,986.23,32,"4"
61,Produto_1852,Descrição do Produto_1852,550.64,26,"5"
62,Produto_9749,Descrição do Produto_9749,337.15,32,"8"
63,Produto_6539,Descrição do Produto_6539,957.37,23,"7"
64,Produto_4241,Descrição do Produto_4241,922.59,32,"4"
65,Produto_3494,Descrição do Produto_3494,591.66,43,"2"
66,Produto_5838,Descrição do Produto_5838,494.18,12,"10"
67,Produto_8070,Descrição do Produto_8070,60.19,84,"1"
68,Produto_2041,Descrição do Produto_2041,891.21,30,"4"
69,Produto_4030,Descrição do Produto_4030,446.51,6,"10"
70,Produto_9895,Descrição do Produto_9895,133.98,7,"10"
71,Produto_2472,Descrição do Produto_2472,390.28,21,"9"
72,Produto_1645,Descrição do Produto_1645,692.46,13,"4"
73,Produto_5203,Descrição do Produto_5203,461.85,25,"8"
74,Produto_4755,Descrição do Produto_4755,953.52,19,"1"
75,Produto_2123,Descrição do Produto_2123,198.50,13,"9"
76,Produto_420,Descrição do Produto_420,475.95,81,"9"
77,Produto_2431,Descrição do Produto_2431,328.83,86,"4"
78,Produto_5232,Descrição do Produto_5232,166.44,7,"9"
79,Produto_395,Descrição do Produto_395,781.58,38,"9"
80,Produto_658,Descrição do Produto_658,772.07,40,"10"
81,Produto_3671,Descrição do Produto_3671,885.23,40,"6"
82,Produto_2831,Descrição do Produto_2831,964.62,40,"10"
83,Produto_2803,Descrição do Produto_2803,195.19,23,"3"
84,Produto_8005,Descrição do Produto_8005,781.13,75,"2"
85,Produto_3813,Descrição do Produto_3813,589.39,26,"9"
86,Produto_9414,Descrição do Produto_9414,248.95,20,"2"
87,Produto_2626,Descrição do Produto_2626,557.34,99,"9"
88,Produto_9197,Descrição do Produto_9197,514.65,93,"10"
89,Produto_2107,Descrição do Produto_2107,245.23,89,"5"
90,Produto_4611,Descrição do Produto_4611,242.64,1,"9"
91,Produto_3694,Descrição do Produto_3694,943.82,60,"10"
92,Produto_8723,Descrição do Produto_8723,483.66,27,"8"
93,Produto_8733,Descrição do Produto_8733,878.36,90,"9"
94,Produto_6288,Descrição do Produto_6288,453.85,32,"6"
95,Produto_4904,Descrição do Produto_4904,260.76,88,"5"
96,Produto_8867,Descrição do Produto_8867,160.63,70,"4"
97,Produto_2101,Descrição do Produto_2101,198.06,96,"5"
98,Produto_3324,Descrição do Produto_3324,719.77,38,"6"
99,Produto_5087,Descrição do Produto_5087,777.14,79,"7"
100,Produto_8856,Descrição do Produto_8856,847.09,40,"1"
101,Produto_4732,Descrição do Produto_4732,643.78,74,"2"
102,Produto_5562,Descrição do Produto_5562,94.03,60,"2"
103,Produto_1886,Descrição do Produto_1886,736.91,59,"10"
104,Produto_3447,Descrição do Produto_3447,835.25,5,"9"
105,Produto_5962,Descrição do Produto_5962,542.87,21,"9"
106,Produto_6560,Descrição do Produto_6560,357.56,74,"5"
107,Produto_1023,Descrição do Produto_1023,298.91,42,"5"
108,Produto_6395,Descrição do Produto_6395,53.17,43,"10"
109,Produto_4419,Descrição do Produto_4419,587.94,21,"3"
110,Produto_3843,Descrição do Produto_3843,276.01,18,"7"
111,Produto_6160,Descrição do Produto_6160,634.43,37,"1"
112,Produto_3801,Descrição do Produto_3801,352.69,50,"3"
113,Produto_8592,Descrição do Produto_8592,722.99,10,"3"
114,Produto_6387,Descrição do Produto_6387,849.96,10,"6"
115,Produto_425,Descrição do Produto_425,643.64,94,"7"
116,Produto_3737,Descrição do Produto_3737,655.41,19,"3"
117,Produto_8812,Descrição do Produto_8812,711.95,67,"8"
118,Produto_9445,Descrição do Produto_9445,232.25,86,"7"
119,Produto_426,Descrição do Produto_426,694.96,19,"8"
120,Produto_9448,Descrição do Produto_9448,468.20,93,"6"
121,Produto_4836,Descrição do Produto_4836,653.94,93,"2"
122,Produto_5297,Descrição do Produto_5297,942.71,16,"1"
123,Produto_4890,Descrição do Produto_4890,928.66,47,"3"
124,Produto_7863,Descrição do Produto_7863,911.16,5,"7"
125,Produto_4619,Descrição do Produto_4619,472.54,57,"8"
126,Produto_1152,Descrição do Produto_1152,291.07,3,"5"
127,Produto_3465,Descrição do Produto_3465,227.54,95,"8"
128,Produto_3976,Descrição do Produto_3976,960.48,42,"3"
129,Produto_5144,Descrição do Produto_5144,164.12,56,"3"
130,Produto_6027,Descrição do Produto_6027,681.07,94,"4"
131,Produto_2999,Descrição do Produto_2999,749.58,95,"6"
132,Produto_5703,Descrição do Produto_5703,332.09,16,"1"
133,Produto_8223,Descrição do Produto_8223,287.34,21,"8"
134,Produto_4163,Descrição do Produto_4163,686.10,19,"1"
135,Produto_7996,Descrição do Produto_7996,557.52,13,"8"
136,Produto_3773,Descrição do Produto_3773,822.90,3,"9"
137,Produto_4836,Descrição do Produto_4836,695.93,5,"8"
138,Produto_8352,Descrição do Produto_8352,318.01,20,"4"
139,Produto_7511,Descrição do Produto_7511,620.15,85,"1"
140,Produto_3225,Descrição do Produto_3225,888.07,95,"4"
141,Produto_4779,Descrição do Produto_4779,928.47,64,"3"
142,Produto_4853,Descrição do Produto_4853,542.89,74,"10"
143,Produto_1855,Descrição do Produto_1855,179.08,64,"5"
144,Produto_517,Descrição do Produto_517,772.37,94,"8"
145,Produto_5730,Descrição do Produto_5730,994.96,91,"9"
146,Produto_7838,Descrição do Produto_7838,236.98,89,"6"
147,Produto_472,Descrição do Produto_472,622.72,47,"3"
148,Produto_2587,Descrição do Produto_2587,488.30,81,"1"
149,Produto_314,Descrição do Produto_314,774.71,44,"9"
150,Produto_7907,Descrição do Produto_7907,829.09,22,"9"
151,Produto_2636,Descrição do Produto_2636,700.29,97,"10"
152,Produto_8010,Descrição do Produto_8010,328.45,33,"6"
153,Produto_1483,Descrição do Produto_1483,988.67,90,"8"
154,Produto_8017,Descrição do Produto_8017,607.57,55,"4"
155,Produto_3145,Descrição do Produto_3145,659.51,55,"8"
156,Produto_4993,Descrição do Produto_4993,268.11,99,"2"
157,Produto_4201,Descrição do Produto_4201,166.33,25,"5"
158,Produto_8736,Descrição do Produto_8736,187.97,16,"7"
159,Produto_1369,Descrição do Produto_1369,456.90,87,"10"
160,Produto_5934,Descrição do Produto_5934,79.27,48,"8"
161,Produto_6013,Descrição do Produto_6013,48.67,63,"8"
162,Produto_9866,Descrição do Produto_9866,845.73,3,"9"
163,Produto_492,Descrição do Produto_492,509.69,91,"8"
164,Produto_7254,Descrição do Produto_7254,841.18,97,"5"
165,Produto_8540,Descrição do Produto_8540,565.32,56,"4"
166,Produto_9628,Descrição do Produto_9628,193.42,68,"3"
167,Produto_1538,Descrição do Produto_1538,688.63,54,"8"
168,Produto_1630,Descrição do Produto_1630,325.49,10,"10"
169,Produto_3097,Descrição do Produto_3097,903.30,34,"4"
170,Produto_4619,Descrição do Produto_4619,188.41,39,"7"
171,Produto_3622,Descrição do Produto_3622,488.83,77,"7"
172,Produto_3630,Descrição do Produto_3630,681.48,94,"3"
173,Produto_8600,Descrição do Produto_8600,812.19,95,"8"
174,Produto_1167,Descrição do Produto_1167,98.25,58,"6"
175,Produto_7816,Descrição do Produto_7816,122.15,84,"6"
176,Produto_1948,Descrição do Produto_1948,315.99,78,"5"
177,Produto_5454,Descrição do Produto_5454,568.48,92,"3"
178,Produto_1961,Descrição do Produto_1961,859.52,22,"1"
179,Produto_9730,Descrição do Produto_9730,756.90,55,"9"
180,Produto_8060,Descrição do Produto_8060,948.34,1,"1"
181,Produto_2306,Descrição do Produto_2306,809.55,96,"5"
182,Produto_1474,Descrição do Produto_1474,659.12,78,"1"
183,Produto_7991,Descrição do Produto_7991,137.67,46,"7"
184,Produto_555,Descrição do Produto_555,173.54,4,"7"
185,Produto_4907,Descrição do Produto_4907,224.16,53,"10"
186,Produto_8408,Descrição do Produto_8408,138.80,66,"7"
187,Produto_7435,Descrição do Produto_7435,569.04,36,"10"
188,Produto_3649,Descrição do Produto_3649,969.79,81,"1"
189,Produto_2877,Descrição do Produto_2877,544.35,32,"1"
190,Produto_6690,Descrição do Produto_6690,510.47,2,"10"
191,Produto_2245,Descrição do Produto_2245,516.23,99,"10"
192,Produto_9382,Descrição do Produto_9382,620.52,23,"7"
193,Produto_9149,Descrição do Produto_9149,383.53,44,"10"
194,Produto_2312,Descrição do Produto_2312,735.07,100,"7"
195,Produto_4498,Descrição do Produto_4498,377.82,24,"10"
196,Produto_5933,Descrição do Produto_5933,898.36,25,"8"
197,Produto_1674,Descrição do Produto_1674,144.35,28,"4"
198,Produto_1106,Descrição do Produto_1106,194.37,80,"2"
199,Produto_6111,Descrição do Produto_6111,103.92,2,"5"
200,Produto_307,Descrição do Produto_307,272.45,90,"2"
201,Produto_6060,Descrição do Produto_6060,364.13,76,"10"
202,Produto_9288,Descrição do Produto_9288,218.71,78,"1"
203,Produto_4828,Descrição do Produto_4828,998.05,56,"3"
204,Produto_468,Descrição do Produto_468,763.12,65,"1"
205,Produto_4280,Descrição do Produto_4280,756.27,42,"2"
206,Produto_3714,Descrição do Produto_3714,266.09,50,"8"
207,Produto_4003,Descrição do Produto_4003,895.13,48,"8"
208,Produto_9294,Descrição do Produto_9294,150.91,81,"8"
209,Produto_3302,Descrição do Produto_3302,381.63,37,"3"
210,Produto_769,Descrição do Produto_769,630.15,12,"7"
211,Produto_6596,Descrição do Produto_6596,474.11,54,"9"
212,Produto_3424,Descrição do Produto_3424,242.00,9,"10"
213,Produto_9506,Descrição do Produto_9506,824.58,44,"3"
214,Produto_8718,Descrição do Produto_8718,564.75,71,"3"
215,Produto_2365,Descrição do Produto_2365,620.44,47,"8"
216,Produto_2719,Descrição do Produto_2719,340.05,87,"2"
217,Produto_9020,Descrição do Produto_9020,799.48,33,"9"
218,Produto_1170,Descrição do Produto_1170,809.56,52,"2"
219,Produto_3221,Descrição do Produto_3221,921.50,30,"9"
220,Produto_5834,Descrição do Produto_5834,66.90,13,"4"
221,Produto_7458,Descrição do Produto_7458,574.64,40,"8"
222,Produto_4821,Descrição do Produto_4821,527.31,65,"8"
223,Produto_2942,Descrição do Produto_2942,624.65,81,"2"
224,Produto_9137,Descrição do Produto_9137,635.34,31,"5"
225,Produto_6560,Descrição do Produto_6560,864.24,52,"3"
226,Produto_6446,Descrição do Produto_6446,552.96,90,"1"
227,Produto_124,Descrição do Produto_124,610.29,42,"10"
228,Produto_5651,Descrição do Produto_5651,787.49,23,"5"
229,Produto_987,Descrição do Produto_987,44.41,79,"3"
230,Produto_5040,Descrição do Produto_5040,246.29,44,"7"
231,Produto_9353,Descrição do Produto_9353,153.79,9,"5"
232,Produto_7941,Descrição do Produto_7941,927.51,69,"5"
233,Produto_4807,Descrição do Produto_4807,826.07,67,"6"
234,Produto_9297,Descrição do Produto_9297,194.87,71,"9"
235,Produto_4985,Descrição do Produto_4985,674.17,3,"4"
236,Produto_8761,Descrição do Produto_8761,717.97,21,"3"
237,Produto_129,Descrição do Produto_129,398.19,76,"6"
238,Produto_7678,Descrição do Produto_7678,522.59,13,"3"
239,Produto_1673,Descrição do Produto_1673,83.15,73,"9"
240,Produto_3098,Descrição do Produto_3098,119.78,79,"8"
241,Produto_2235,Descrição do Produto_2235,974.07,89,"9"
242,Produto_1913,Descrição do Produto_1913,711.14,89,"8"
243,Produto_6028,Descrição do Produto_6028,871.84,89,"6"
244,Produto_5680,Descrição do Produto_5680,612.41,99,"3"
245,Produto_539,Descrição do Produto_539,974.22,65,"6"
246,Produto_7890,Descrição do Produto_7890,645.56,37,"7"
247,Produto_2366,Descrição do Produto_2366,311.77,53,"3"
248,Produto_5933,Descrição do Produto_5933,549.68,15,"9"
249,Produto_4452,Descrição do Produto_4452,259.91,18,"7"
250,Produto_4291,Descrição do Produto_4291,557.83,7,"10"
251,Produto_5074,Descrição do Produto_5074,386.40,64,"4"
252,Produto_725,Descrição do Produto_725,196.28,38,"10"
253,Produto_1749,Descrição do Produto_1749,785.60,1,"6"
254,Produto_2206,Descrição do Produto_2206,523.14,93,"3"
255,Produto_6545,Descrição do Produto_6545,574.54,71,"8"
256,Produto_8311,Descrição do Produto_8311,78.32,38,"9"
257,Produto_3437,Descrição do Produto_3437,377.63,27,"9"
258,Produto_2531,Descrição do Produto_2531,90.30,94,"6"
259,Produto_2918,Descrição do Produto_2918,973.51,36,"2"
260,Produto_3976,Descrição do Produto_3976,561.04,19,"9"
261,Produto_5369,Descrição do Produto_5369,130.27,33,"4"
262,Produto_6617,Descrição do Produto_6617,795.38,56,"10"
263,Produto_6906,Descrição do Produto_6906,251.25,67,"10"
264,Produto_5070,Descrição do Produto_5070,292.59,17,"9"
265,Produto_2496,Descrição do Produto_2496,32.51,42,"9"
266,Produto_5108,Descrição do Produto_5108,58.13,14,"9"
267,Produto_5094,Descrição do Produto_5094,783.68,23,"4"
268,Produto_2708,Descrição do Produto_2708,291.90,99,"2"
269,Produto_5206,Descrição do Produto_5206,353.04,37,"1"
270,Produto_4087,Descrição do Produto_4087,174.57,36,"10"
271,Produto_9301,Descrição do Produto_9301,419.18,69,"5"
272,Produto_3169,Descrição do Produto_3169,801.74,32,"9"
273,Produto_4984,Descrição do Produto_4984,345.74,19,"4"
274,Produto_728,Descrição do Produto_728,253.49,86,"1"
275,Produto_17,Descrição do Produto_17,925.76,76,"5"
276,Produto_6208,Descrição do Produto_6208,193.26,83,"9"
277,Produto_2669,Descrição do Produto_2669,653.47,67,"10"
278,Produto_9030,Descrição do Produto_9030,268.95,66,"6"
279,Produto_6682,Descrição do Produto_6682,445.83,11,"9"
280,Produto_1349,Descrição do Produto_1349,364.18,20,"3"
281,Produto_5136,Descrição do Produto_5136,669.11,36,"1"
282,Produto_9131,Descrição do Produto_9131,789.10,66,"10"
283,Produto_6641,Descrição do Produto_6641,892.12,31,"5"
284,Produto_3860,Descrição do Produto_3860,464.47,33,"9"
285,Produto_5864,Descrição do Produto_5864,845.38,68,"8"
286,Produto_2255,Descrição do Produto_2255,798.14,59,"7"
287,Produto_4465,Descrição do Produto_4465,615.19,18,"4"
288,Produto_9391,Descrição do Produto_9391,221.81,4,"6"
289,Produto_3183,Descrição do Produto_3183,134.75,12,"2"
290,Produto_1419,Descrição do Produto_1419,669.55,93,"8"
291,Produto_4357,Descrição do Produto_4357,156.68,23,"6"
292,Produto_2004,Descrição do Produto_2004,198.12,91,"1"
293,Produto_1656,Descrição do Produto_1656,770.93,21,"9"
294,Produto_2493,Descrição do Produto_2493,714.71,57,"8"
295,Produto_5242,Descrição do Produto_5242,360.69,83,"4"
296,Produto_7305,Descrição do Produto_7305,199.73,3,"2"
297,Produto_1097,Descrição do Produto_1097,942.84,51,"5"
298,Produto_6315,Descrição do Produto_6315,930.74,68,"9"
299,Produto_4913,Descrição do Produto_4913,512.42,39,"9"
300,Produto_1206,Descrição do Produto_1206,642.63,68,"7"
301,Produto_798,Descrição do Produto_798,84.11,43,"4"
302,Produto_1620,Descrição do Produto_1620,93.22,81,"7"
303,Produto_1098,Descrição do Produto_1098,932.12,42,"5"
304,Produto_627,Descrição do Produto_627,804.72,25,"1"
305,Produto_2217,Descrição do Produto_2217,447.32,2,"10"
306,Produto_1285,Descrição do Produto_1285,140.24,9,"3"
307,Produto_2050,Descrição do Produto_2050,86.99,9,"7"
308,Produto_3,Descrição do Produto_3,286.09,72,"3"
309,Produto_2042,Descrição do Produto_2042,919.43,99,"10"
310,Produto_6167,Descrição do Produto_6167,635.25,9,"9"
311,Produto_9084,Descrição do Produto_9084,315.33,37,"5"
312,Produto_6554,Descrição do Produto_6554,55.09,83,"3"
313,Produto_8177,Descrição do Produto_8177,558.97,42,"10"
314,Produto_2705,Descrição do Produto_2705,792.36,14,"10"
315,Produto_2499,Descrição do Produto_2499,178.92,74,"9"
316,Produto_3350,Descrição do Produto_3350,463.18,11,"2"
317,Produto_6473,Descrição do Produto_6473,12.13,80,"9"
318,Produto_3493,Descrição do Produto_3493,519.78,74,"7"
319,Produto_3556,Descrição do Produto_3556,322.11,24,"5"
320,Produto_9426,Descrição do Produto_9426,603.10,6,"4"
321,Produto_4507,Descrição do Produto_4507,548.45,44,"7"
322,Produto_9060,Descrição do Produto_9060,898.34,35,"6"
323,Produto_2491,Descrição do Produto_2491,93.18,58,"1"
324,Produto_1448,Descrição do Produto_1448,894.07,78,"6"
325,Produto_9555,Descrição do Produto_9555,141.53,74,"9"
326,Produto_4825,Descrição do Produto_4825,678.24,9,"1"
327,Produto_6109,Descrição do Produto_6109,382.42,6,"10"
328,Produto_8062,Descrição do Produto_8062,249.79,39,"9"
329,Produto_4614,Descrição do Produto_4614,875.83,36,"6"
330,Produto_8498,Descrição do Produto_8498,327.48,58,"4"
331,Produto_6310,Descrição do Produto_6310,989.20,64,"9"
332,Produto_6026,Descrição do Produto_6026,861.39,5,"2"
333,Produto_7083,Descrição do Produto_7083,630.44,55,"10"
334,Produto_1690,Descrição do Produto_1690,54.81,14,"4"
335,Produto_9329,Descrição do Produto_9329,837.20,95,"4"
336,Produto_125,Descrição do Produto_125,576.85,59,"5"
337,Produto_6956,Descrição do Produto_6956,727.92,60,"7"
338,Produto_6624,Descrição do Produto_6624,510.00,82,"2"
339,Produto_9737,Descrição do Produto_9737,685.70,8,"10"
340,Produto_8005,Descrição do Produto_8005,775.45,12,"6"
341,Produto_2616,Descrição do Produto_2616,805.27,68,"1"
342,Produto_6753,Descrição do Produto_6753,459.00,31,"2"
343,Produto_7335,Descrição do Produto_7335,623.31,67,"8"
344,Produto_3520,Descrição do Produto_3520,991.13,3,"2"
345,Produto_5534,Descrição do Produto_5534,192.86,38,"7"
346,Produto_2733,Descrição do Produto_2733,183.75,94,"4"
347,Produto_8167,Descrição do Produto_8167,597.67,70,"1"
348,Produto_1998,Descrição do Produto_1998,194.30,69,"2"
349,Produto_5242,Descrição do Produto_5242,314.98,74,"8"
350,Produto_2513,Descrição do Produto_2513,345.22,3,"2"
351,Produto_9073,Descrição do Produto_9073,249.48,26,"1"
352,Produto_7227,Descrição do Produto_7227,104.33,98,"8"
353,Produto_2356,Descrição do Produto_2356,638.93,3,"3"
354,Produto_752,Descrição do Produto_752,336.55,19,"7"
355,Produto_3969,Descrição do Produto_3969,906.55,34,"7"
356,Produto_7990,Descrição do Produto_7990,314.81,28,"9"
357,Produto_3805,Descrição do Produto_3805,423.63,60,"9"
358,Produto_6757,Descrição do Produto_6757,872.64,99,"3"
359,Produto_3663,Descrição do Produto_3663,149.15,27,"1"
360,Produto_6364,Descrição do Produto_6364,793.47,9,"8"
361,Produto_3206,Descrição do Produto_3206,985.77,44,"3"
362,Produto_2784,Descrição do Produto_2784,277.09,77,"8"
363,Produto_4715,Descrição do Produto_4715,761.92,10,"10"
364,Produto_6113,Descrição do Produto_6113,635.14,7,"4"
365,Produto_8219,Descrição do Produto_8219,486.20,91,"1"
366,Produto_259,Descrição do Produto_259,144.30,62,"5"
367,Produto_3468,Descrição do Produto_3468,935.11,82,"7"
368,Produto_6072,Descrição do Produto_6072,775.44,76,"4"
369,Produto_7038,Descrição do Produto_7038,521.88,37,"8"
370,Produto_8024,Descrição do Produto_8024,31.90,86,"1"
371,Produto_6887,Descrição do Produto_6887,374.01,8,"2"
372,Produto_4757,Descrição do Produto_4757,83.28,50,"1"
373,Produto_6868,Descrição do Produto_6868,209.76,42,"6"
374,Produto_4,Descrição do Produto_4,531.30,67,"10"
375,Produto_8069,Descrição do Produto_8069,175.52,92,"3"
376,Produto_5356,Descrição do Produto_5356,915.90,92,"6"
377,Produto_5031,Descrição do Produto_5031,601.84,20,"3"
378,Produto_4398,Descrição do Produto_4398,386.12,92,"9"
379,Produto_4082,Descrição do Produto_4082,326.26,67,"3"
380,Produto_1973,Descrição do Produto_1973,484.99,8,"5"
381,Produto_2715,Descrição do Produto_2715,920.19,98,"5"
382,Produto_3477,Descrição do Produto_3477,877.05,78,"7"
383,Produto_1759,Descrição do Produto_1759,84.79,21,"5"
384,Produto_3954,Descrição do Produto_3954,951.10,83,"6"
385,Produto_1002,Descrição do Produto_1002,804.87,57,"3"
386,Produto_511,Descrição do Produto_511,721.69,35,"8"
387,Produto_9795,Descrição do Produto_9795,718.47,23,"8"
388,Produto_3655,Descrição do Produto_3655,269.13,40,"10"
389,Produto_2598,Descrição do Produto_2598,633.24,5,"5"
390,Produto_2542,Descrição do Produto_2542,416.11,88,"1"
391,Produto_1511,Descrição do Produto_1511,788.26,18,"6"
392,Produto_4583,Descrição do Produto_4583,457.33,92,"7"
393,Produto_1146,Descrição do Produto_1146,739.95,9,"2"
394,Produto_9911,Descrição do Produto_9911,268.70,89,"8"
395,Produto_4960,Descrição do Produto_4960,954.92,71,"2"
396,Produto_8351,Descrição do Produto_8351,251.46,68,"3"
397,Produto_255,Descrição do Produto_255,813.07,30,"10"
398,Produto_6352,Descrição do Produto_6352,552.58,62,"8"
399,Produto_786,Descrição do Produto_786,355.37,95,"4"
400,Produto_3214,Descrição do Produto_3214,762.81,28,"10"
401,Produto_8140,Descrição do Produto_8140,109.98,41,"7"
402,Produto_1473,Descrição do Produto_1473,615.43,3,"6"
403,Produto_9283,Descrição do Produto_9283,534.24,28,"3"
404,Produto_5751,Descrição do Produto_5751,570.09,4,"5"
405,Produto_7905,Descrição do Produto_7905,722.98,45,"3"
406,Produto_6659,Descrição do Produto_6659,391.74,74,"6"
407,Produto_4436,Descrição do Produto_4436,946.41,82,"3"
408,Produto_4841,Descrição do Produto_4841,472.68,86,"9"
409,Produto_1814,Descrição do Produto_1814,470.67,61,"3"
410,Produto_4200,Descrição do Produto_4200,326.18,37,"6"
411,Produto_1831,Descrição do Produto_1831,277.73,74,"2"
412,Produto_8084,Descrição do Produto_8084,154.49,1,"4"
413,Produto_7921,Descrição do Produto_7921,586.18,27,"1"
414,Produto_9344,Descrição do Produto_9344,47.50,7,"3"
415,Produto_1279,Descrição do Produto_1279,475.48,100,"1"
416,Produto_9392,Descrição do Produto_9392,450.96,54,"1"
417,Produto_3617,Descrição do Produto_3617,494.22,95,"1"
418,Produto_9706,Descrição do Produto_9706,854.58,31,"10"
419,Produto_8210,Descrição do Produto_8210,824.61,52,"4"
420,Produto_3208,Descrição do Produto_3208,904.82,69,"10"
421,Produto_3507,Descrição do Produto_3507,153.43,5,"4"
422,Produto_3450,Descrição do Produto_3450,826.77,70,"4"
423,Produto_7571,Descrição do Produto_7571,539.67,60,"6"
424,Produto_2584,Descrição do Produto_2584,169.39,44,"8"
425,Produto_4801,Descrição do Produto_4801,483.21,3,"4"
426,Produto_3563,Descrição do Produto_3563,425.62,61,"9"
427,Produto_6441,Descrição do Produto_6441,896.73,5,"4"
428,Produto_2019,Descrição do Produto_2019,732.80,16,"2"
429,Produto_1558,Descrição do Produto_1558,484.27,87,"6"
430,Produto_204,Descrição do Produto_204,388.60,8,"9"
431,Produto_6677,Descrição do Produto_6677,269.04,30,"9"
432,Produto_6951,Descrição do Produto_6951,756.12,88,"1"
433,Produto_5167,Descrição do Produto_5167,964.67,25,"9"
434,Produto_4793,Descrição do Produto_4793,323.30,20,"6"
435,Produto_1410,Descrição do Produto_1410,289.36,77,"10"
436,Produto_527,Descrição do Produto_527,636.29,73,"10"
437,Produto_5712,Descrição do Produto_5712,947.46,37,"10"
438,Produto_4632,Descrição do Produto_4632,513.37,99,"9"
439,Produto_3717,Descrição do Produto_3717,318.95,93,"4"
440,Produto_4600,Descrição do Produto_4600,201.10,45,"5"
441,Produto_9646,Descrição do Produto_9646,927.59,64,"7"
442,Produto_7026,Descrição do Produto_7026,78.18,8,"10"
443,Produto_9827,Descrição do Produto_9827,205.74,29,"7"
444,Produto_8777,Descrição do Produto_8777,734.28,4,"7"
445,Produto_4920,Descrição do Produto_4920,128.95,83,"1"
446,Produto_3399,Descrição do Produto_3399,798.07,84,"10"
447,Produto_5236,Descrição do Produto_5236,447.00,56,"7"
448,Produto_4708,Descrição do Produto_4708,553.54,50,"10"
449,Produto_25,Descrição do Produto_25,89.05,4,"9"
450,Produto_2834,Descrição do Produto_2834,129.32,29,"7"
451,Produto_720,Descrição do Produto_720,597.09,74,"5"
452,Produto_8143,Descrição do Produto_8143,799.31,34,"4"
